报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),70355,33755,145783,96537,64065,33807,149569,104700,69666,34814,125047,84717,55135,28404,83981,54377,36077,16754,74107,51349,33684,15269,77041,54844,34999,72073,34934,59022,45875,44439,
营业收入(万元),70355,33755,145783,96537,64065,33807,149569,104700,69666,34814,125047,84717,55135,28404,83981,54377,36077,16754,74107,51349,33684,15269,77041,54844,34999,72073,34934,59022,45875,44439,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),61075,30542,132658,86423,55416,28817,128293,89218,58187,28723,112981,76837,49340,25530,75754,47352,30616,14527,63459,43822,28584,13161,67132,47980,29148,63339,29168,52868,42701,42589,
营业成本(万元),43645,20303,89932,60242,39044,21440,98447,67471,45530,22926,88877,59464,39440,21213,58017,35896,22822,10877,47869,33372,21826,9928,52178,37507,22697,47877,22290,40462,34026,34649,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),845,436,1688,1211,775,358,1448,616,363,136,563,320,132,64,366,256,131,76,572,341,202,91,582,337,297,492,243,374,233,232,
销售费用(万元),4841,2341,11349,6702,4372,2088,9688,6101,4062,1610,6898,5253,3215,1206,5478,4393,2864,1538,5787,3561,2253,1233,4687,3123,2169,4094,1901,3592,2828,1972,
管理费用(万元),10029,4337,21310,13746,8445,3673,18885,13907,7408,3076,14605,9852,5098,2595,11380,6678,4782,2011,8587,5972,3698,1710,8195,5723,2941,8547,3599,6474,4278,3697,
财务费用(万元),1670,3137,6719,4320,2649,1126,-234,853,482,857,1794,1560,1244,379,113,-136,-115,-51,308,328,325,136,1195,1076,827,1912,1024,1782,1436,1967,
资产减值损失(万元),44,-12,1659,202,131,132,60,270,343,118,246,388,212,74,401,265,131,76,338,249,280,63,296,214,217,418,111,184,-100,72,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
投资收益(万元),--,-44,43,36,36,36,-355,-379,--,--,27,27,26,--,115,104,69,20,30,16,--,--,--,--,0,--,--,0,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),10132,3857,14765,11996,9108,5025,20921,15103,11479,6091,12092,7907,5821,2874,8341,7129,5529,2247,10678,7542,5100,2107,9908,6864,5851,8733,5765,6154,3174,1849,
营业外收入(万元),24,24,126,552,292,256,1222,498,140,93,812,520,478,60,1108,323,258,215,273,231,181,29,967,381,273,431,158,458,129,86,
营业外支出(万元),0,--,154,38,36,13,610,17,12,0,50,43,16,5,27,26,26,3,134,8,6,1,87,6,0,21,19,193,87,124,
非流动资产处置损失(万元),--,--,--,5,5,--,329,0,0,--,41,35,9,--,25,25,25,3,114,2,--,--,32,1,0,18,17,--,--,--,
利润总额(万元),10155,3881,14737,12510,9364,5268,21532,15583,11606,6184,12854,8384,6283,2929,9422,7426,5761,2459,10816,7766,5276,2135,10788,7239,6125,9144,5904,6419,3216,1811,
所得税费用(万元),1123,516,3732,1168,1045,744,4109,2625,1832,699,1279,939,772,284,1414,1115,784,321,1753,1134,746,302,1832,1146,914,1451,1123,1097,612,333,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9032,3365,11005,11342,8319,4524,17423,12958,9774,5485,11576,7446,5510,2645,8008,6311,4977,2138,9063,6631,4529,1833,8956,6093,5211,7693,4781,5321,2604,1478,
归属于母公司所有者的净利润(万元),8518,3082,10842,9926,7681,4103,16413,12347,9423,5054,10465,6866,5092,2359,7721,6210,4923,2122,9043,6570,4501,1828,8958,6020,5119,7740,4739,5275,2703,1587,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
少数股东损益(万元),514,283,162,1417,638,422,1010,611,351,431,1110,580,418,286,287,100,55,16,20,62,29,5,-2,73,92,-48,42,46,-99,-109,
基本每股收益,0.13,0.05,0.17,0.16,0.12,0.06,0.26,0.2,0.15,0.21,0.48,0.32,0.23,0.11,0.35,0.29,0.23,0.19,0.83,0.6,0.41,0.17,0.96,0.69,0.47,0.95,0.58,0.65,0.33,0.19,
稀释每股收益,0.13,0.05,0.17,0.16,0.12,0.06,0.26,0.2,0.15,0.21,0.48,0.32,0.23,0.11,0.35,0.29,0.23,0.19,0.83,0.6,0.41,0.17,0.96,0.69,0.47,0.95,0.58,0.65,0.33,0.19,
