报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),652642,411945,861039,638046,895876,913129,
营业收入(万元),--,--,--,--,--,--,
利息收入(万元),1033193,667405,1287197,961681,1436339,1449638,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),41344,27552,64643,50891,48776,38786,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),2355,1392,1130,532,1378,1425,
营业总成本(万元),314794,212150,550092,361022,564004,458847,
营业成本(万元),--,--,--,--,--,--,
利息支出(万元),494472,322844,536482,396269,639810,612626,
手续费及佣金支出(万元),11252,7405,18154,13605,16550,14828,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,4407,--,
营业税金及附加(万元),5068,3699,23172,20000,60225,62853,
销售费用(万元),189544,117988,264930,183971,248589,262659,
管理费用(万元),--,--,--,--,--,--,
财务费用(万元),--,--,--,--,--,--,
资产减值损失(万元),120182,90463,261991,157052,250783,133336,
公允价值变动收益(万元),238,1129,-1500,-866,943,1262,
投资收益(万元),81020,44719,62363,34463,63206,48652,
对联营企业和合营企业的投资收益(万元),6603,4299,8326,6159,6977,7060,
汇兑收益(万元),215,-2,1842,1219,1594,820,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),337848,199795,310946,277023,331871,454282,
营业外收入(万元),2213,138,9092,3178,26814,4240,
营业外支出(万元),649,562,1998,1593,1783,936,
非流动资产处置损失(万元),--,--,--,--,--,--,
利润总额(万元),339411,199371,318040,278608,356902,457586,
所得税费用(万元),58270,34169,59734,57744,74784,102351,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),281141,165202,258306,220864,282118,355235,
归属于母公司所有者的净利润(万元),280998,165227,257749,220555,281619,354814,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,
少数股东损益(万元),143,-25,558,310,499,421,
基本每股收益,0.86,0.51,0.79,0.68,0.87,1.09,
稀释每股收益,0.86,0.51,0.79,0.68,0.87,1.09,
