报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),193636,124162,228081,179283,211313,118149,92184,
营业收入(万元),193636,124162,228081,179283,211313,118149,92184,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),158862,101550,189157,140935,170848,106620,90248,
营业成本(万元),141825,91081,167154,125560,150591,91100,73755,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),9102,5834,10896,8530,10231,5691,5763,
销售费用(万元),3913,2046,4361,2715,3408,3128,5256,
管理费用(万元),3360,2153,5769,3500,3977,2996,2556,
财务费用(万元),644,425,874,630,2153,3595,2895,
资产减值损失(万元),19,12,103,-1,487,109,23,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),1120,717,1463,825,1734,405,95,
对联营企业和合营企业的投资收益(万元),687,431,726,248,1125,-14,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),36901,23840,40386,39172,42199,11933,2032,
营业外收入(万元),2996,2362,6203,4598,1855,3114,1183,
营业外支出(万元),39,27,79,72,156,75,95,
非流动资产处置损失(万元),5,1,2,1,49,5,3,
利润总额(万元),39858,26174,46510,43699,43897,14972,3120,
所得税费用(万元),9350,6090,10908,10638,9385,3090,999,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),30508,20084,35602,33061,34512,11882,2121,
归属于母公司所有者的净利润(万元),30508,20084,35602,33061,34437,11852,2048,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,75,30,73,
基本每股收益,0.76,0.5,0.89,0.83,0.86,--,--,
稀释每股收益,0.76,0.5,0.89,0.83,0.86,--,--,
