报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),398716,1588559,1146661,756750,342740,5124157,3680038,2062046,1013048,5778744,3867358,2411346,1184105,7151264,5084169,3317184,1486186,7956691,5537025,3424181,1433513,6661103,4498383,2660359,1087507,5952129,4305519,2716412,1233528,5468775,3505125,2111193,914199,4061909,2737511,1684716,594079,2346394,1576055,1231741,548994,1806764,1396091,830798,377508,1398971,865876,485251,190376,
营业收入(万元),398716,1588559,1146661,756750,342740,5124157,3680038,2062046,1013048,5778744,3867358,2411346,1184105,7151264,5084169,3317184,1486186,7956691,5537025,3424181,1433513,6661103,4498383,2660359,1087507,5952129,4305519,2716412,1233528,5468775,3505125,2111193,914199,4061909,2737511,1684716,594079,2346394,1576055,1231741,548994,1806764,1396091,830798,377508,1398971,865876,485251,190376,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,0,--,--,--,
营业总成本(万元),361224,1457891,1057995,693473,310990,5137474,3687637,2071001,1014245,5785059,3876639,2412515,1178226,7127449,5039072,3292836,1478098,7896310,5506863,3406963,1421260,6593483,4447718,2639905,1079114,5870924,4247934,2666155,1209266,5354908,3423740,2055796,894565,3990078,2685429,1653565,579338,2296897,1547664,1208401,532343,1794997,1377280,821050,368013,1393304,859657,481370,188322,
营业成本(万元),321776,1265072,918586,605943,273822,4840782,3529066,1967151,943955,5370430,3585613,2253505,1109521,6728862,4768999,3128650,1408423,7532177,5275338,3254152,1353709,6298250,4245051,2511678,1018953,5576359,4037724,2530195,1144000,5103050,3247477,1944222,843029,3776913,2535626,1556475,539998,2144978,1439894,1135703,497424,1681249,1299220,772602,344472,1274703,789559,439461,170822,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,0,0,0,--,0,--,
