报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),28847,20092,9058,39207,27400,19330,39192,37568,35292,
营业收入(万元),28847,20092,9058,39207,27400,19330,39192,37568,35292,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),25108,16981,7678,32825,23213,16314,34098,33097,30990,
营业成本(万元),15390,10850,4688,20741,14333,10297,21983,21288,21147,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),136,130,66,401,222,210,706,716,591,
销售费用(万元),3007,1994,1107,3654,2978,1848,3377,3149,2617,
管理费用(万元),6383,3847,1957,7580,5542,3661,7509,7420,6570,
财务费用(万元),1,-0,-0,-10,-8,-9,23,12,33,
资产减值损失(万元),191,162,-138,458,146,306,500,513,32,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),29,25,12,108,73,40,19,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),3768,3135,1392,6490,4260,3056,5113,4471,4302,
营业外收入(万元),310,101,43,290,81,71,296,244,123,
营业外支出(万元),46,38,9,80,40,22,30,91,37,
非流动资产处置损失(万元),1,1,1,30,8,11,2,15,3,
利润总额(万元),4033,3199,1426,6700,4302,3105,5378,4624,4389,
所得税费用(万元),694,648,296,1203,698,674,1217,855,771,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),3338,2551,1130,5497,3604,2431,4161,3769,3618,
归属于母公司所有者的净利润(万元),3338,2551,1130,5497,3604,2431,4161,3769,3618,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.51,0.39,0.17,0.83,0.55,0.37,0.68,0.63,0.6,
稀释每股收益,0.51,0.39,0.17,0.83,0.55,0.37,0.68,0.63,0.6,
