报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,
营业总收入(万元),23906,61954,45850,29678,14977,29323,21704,17487,12050,24736,18113,12818,10295,37561,27482,20316,13309,41778,29398,19347,12040,34574,22484,14801,3466,28371,23306,
营业收入(万元),23906,61954,45850,29678,14977,29323,21704,17487,12050,24736,18113,12818,10295,37561,27482,20316,13309,41778,29398,19347,12040,34574,22484,14801,3466,28371,23306,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),18966,50137,34245,20710,10468,20058,13885,11043,8397,15979,10358,6788,5075,25912,17178,13184,8190,30054,21374,14672,8648,25418,16658,11178,2700,20522,16558,
营业成本(万元),15380,37081,27238,16864,9042,13679,9953,8210,7110,10486,6933,4147,4475,19967,14075,11287,6933,24231,18194,12818,7540,21441,14077,9089,1829,17575,13905,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1029,3104,884,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),182,596,306,176,136,643,385,267,116,574,32,389,28,302,165,151,16,159,111,107,43,186,126,69,9,237,258,
销售费用(万元),457,1228,759,396,11,164,108,80,14,57,52,42,17,55,144,74,11,101,138,67,18,116,91,72,9,135,78,
管理费用(万元),1521,5539,4597,3117,1190,5024,2609,1906,887,3729,2727,1742,572,5170,2878,2096,1149,5218,3198,1830,842,4331,2628,1993,816,2703,2342,
财务费用(万元),90,-63,-227,-216,103,648,579,226,223,801,371,218,31,35,-279,-483,33,111,-379,-261,-88,-584,-344,-125,-85,-201,-73,
