报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
营业总收入(万元),488999,271646,116178,692187,485545,273953,95014,308804,204517,130820,64850,176848,117802,76506,32460,177444,103572,63347,17798,61661,--,30263,12327,62477,48773,30934,
营业收入(万元),488999,271646,116178,692187,485545,273953,95014,308804,204517,130820,64850,176848,117802,76506,32460,177444,103572,63347,17798,61661,--,30263,12327,62477,48773,30934,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),479020,263285,111149,661498,461386,259178,88749,275850,180646,114274,56953,155305,105652,67950,29066,165013,95148,56808,14816,49091,--,23995,9273,49801,39005,22561,
营业成本(万元),466273,254652,107144,642432,449971,251931,86075,259610,170757,107792,53810,147947,99983,64724,27393,157622,90147,53663,13282,43201,--,21520,8062,43587,33671,18572,
利息支出(万元),--,--,--,1654,--,--,--,1843,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),1118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),946,622,292,1989,1311,754,261,1570,714,499,280,770,471,265,93,402,289,198,104,394,--,139,24,822,799,604,
销售费用(万元),1606,957,484,1898,1260,813,383,1739,1224,831,370,1331,828,524,229,826,529,314,130,139,--,21,11,93,129,139,
管理费用(万元),4277,3489,1661,7657,5093,3272,1471,7595,5712,3800,1700,4520,3012,1980,938,3982,2708,1679,792,3099,--,1149,610,2921,2236,1781,
