报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),44860,29139,51158,38097,50745,54433,50283,
营业收入(万元),44860,29139,51158,38097,50745,54433,50283,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),40442,26136,46124,33705,46077,48074,45647,
营业成本(万元),32913,20893,36117,26921,36889,40118,38698,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),672,466,948,699,471,390,364,
销售费用(万元),1570,1152,1936,1510,1980,1702,1346,
管理费用(万元),3912,2763,6196,3742,5406,4401,3328,
财务费用(万元),1213,744,877,748,1225,1412,1776,
资产减值损失(万元),162,118,49,85,106,51,134,
公允价值变动收益(万元),--,--,--,--,--,--,1,
投资收益(万元),115,15,73,64,21,61,33,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),4533,3018,5107,4455,4689,6420,4671,
营业外收入(万元),271,35,1036,657,1439,588,101,
营业外支出(万元),73,52,58,38,383,351,410,
非流动资产处置损失(万元),70,50,57,37,60,297,362,
利润总额(万元),4731,3002,6085,5074,5745,6657,4362,
所得税费用(万元),1200,783,1596,1336,1457,1770,1111,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),3532,2218,4489,3738,4289,4887,3252,
归属于母公司所有者的净利润(万元),3684,2367,4746,3810,4326,4861,3109,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-153,-149,-257,-72,-38,27,143,
基本每股收益,0.61,0.39,0.79,0.64,0.72,--,--,
稀释每股收益,0.61,0.39,0.79,0.64,0.72,--,--,
