报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),212420,145491,284004,208698,292923,220271,311459,90315,316525,284977,275143,
营业收入(万元),212420,145491,284004,208698,292923,220271,311459,90315,316525,284977,275143,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),199650,135745,270013,199472,277959,209039,292321,--,294094,266144,255679,
营业成本(万元),175180,119401,233647,172369,239508,177354,254293,--,252171,227759,222106,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),2909,1992,4367,3394,4090,3126,4370,--,4739,4241,5349,
销售费用(万元),13175,9002,20656,15532,22530,19954,22217,--,24344,21516,16295,
管理费用(万元),7210,4553,9384,6571,9944,7135,10502,--,11175,11193,11120,
财务费用(万元),889,584,1599,1246,1738,1271,1259,--,1309,1340,599,
资产减值损失(万元),287,214,360,361,150,199,-320,--,358,95,210,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),753,753,1004,1004,193,--,95,--,30,1373,42,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),13523,10498,14995,10230,15157,11232,19233,7720,22460,20205,19507,
营业外收入(万元),94,55,300,176,524,251,320,--,395,101,71,
营业外支出(万元),234,145,1417,275,71,41,499,--,590,237,113,
非流动资产处置损失(万元),--,--,65,25,33,33,87,--,--,--,--,
利润总额(万元),13382,10409,13878,10130,15611,11442,19054,7738,22265,20069,19465,
所得税费用(万元),4089,2982,4695,3377,5176,3907,5594,--,6257,6132,6147,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),9293,7427,9183,6754,10435,7535,13460,5636,16008,13937,13318,
归属于母公司所有者的净利润(万元),9293,7427,9183,6754,10435,7535,13460,5636,16008,13961,13334,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,-0,--,-1,-24,-16,
基本每股收益,0.18,0.15,0.18,0.13,0.21,0.15,0.27,--,0.32,0.28,0.26,
稀释每股收益,0.17,0.15,0.18,0.13,0.21,0.15,0.27,--,0.32,0.28,0.26,
