报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),6547784,30520487,22561970,14872237,6754632,28949779,25213975,17014711,8512235,18571029,13361107,7811131,3534221,16411714,12244910,8094365,4147316,18778901,14388143,9779261,4684499,19002597,14250443,9625942,4643593,19151214,14608615,9810064,4741947,22285655,16732461,11114926,5401829,20241345,14914430,9793537,4433660,14852527,10651482,6548090,3232956,20063801,15979202,10364160,4702639,19155899,14424295,9412380,4297511,16232557,11653170,7316811,3340297,
营业收入(万元),6537824,30477946,22532017,14853409,6745372,28909290,25183747,16993251,8501005,18545865,13343533,7799280,3527345,16378955,12219174,8077061,4138595,18741364,14359169,9759840,4674776,18968838,14226357,9609959,4635467,19113554,14579100,9790173,4731123,22250468,16706710,11098910,5394004,20214915,14895164,9781191,4427766,14832636,10636796,6538237,3227880,20033177,15954334,10347345,4695605,19127349,14402052,9397601,4297511,16214217,11641134,7309180,3335744,
利息收入(万元),9744,41082,29054,18180,8945,39275,29382,20864,10911,23908,16660,11252,6593,32157,25409,17051,8567,37157,28681,19191,9565,33454,23819,15773,7991,37163,29048,19516,10513,34630,25248,15555,7528,26010,18982,12310,5881,19691,14493,9843,5074,29675,23922,15870,6093,27222,21681,14519,0,16884,10910,6585,4507,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
手续费及佣金收入(万元),216,1458,899,648,316,1215,846,596,319,1256,914,599,283,602,328,254,154,380,293,230,158,305,267,209,135,497,467,375,311,556,503,461,298,420,283,35,13,200,194,10,2,949,946,946,941,1328,562,260,0,1455,1126,1045,46,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
营业总成本(万元),6241584,28192935,20734231,13670441,6092567,26797795,23983718,16265158,8008838,17559492,12613482,7330789,3304754,16331055,11982800,7694224,3924676,18055052,13741060,9352770,4476268,18305406,13644652,9144829,4424994,18911733,14303391,9582468,4646127,21464082,15950967,10456088,4999137,18658643,13594506,8765905,3950052,14211755,10226304,6529196,3220204,19301443,14374289,9106829,4143164,17360769,12969072,8257179,3776665,14365738,10346723,6670939,3138473,
营业成本(万元),5873045,25908500,19028448,12627522,5642653,24842510,22440631,15278897,7492956,16185137,11711851,6707026,3087058,14925836,11004392,7152537,3662475,16893114,12936320,8820425,4222250,17171820,12991375,8726674,4218819,17687936,13506561,9024119,4375373,20304072,15343242,10034824,4790895,17781674,12964000,8337287,3757090,13433246,9689877,6207529,3115051,17589383,13427833,8600768,3957750,16292559,12174197,7741500,3581868,13459815,9733775,6274966,2985413,
利息支出(万元),3726,16959,11713,7376,4000,17476,12787,9032,5453,19552,14484,10238,6194,26625,20421,13185,6438,25683,19079,12561,6138,23363,17228,11514,5964,26645,20748,13412,6578,20271,14759,9574,4500,16115,12011,7956,4199,12399,8369,16788,6935,38288,29642,21039,10134,42616,32815,20865,0,29403,21967,14514,8116,
手续费及佣金支出(万元),129,388,298,200,101,404,297,184,87,226,140,56,11,107,96,28,17,62,50,34,16,60,46,32,14,58,46,28,16,37,24,16,5,23,17,12,4,21,14,8,4,11,9,6,3,14,12,8,0,2,1,87,1,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
研发费用(万元),137506,703059,457656,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,0,0,0,0,--,0,--,--,--,0,0,--,--,0,
