报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),53189,34306,48786,32457,20232,37656,35775,29893,11561,21431,12836,10438,
营业收入(万元),53189,34306,48786,32457,20232,37656,35775,29893,11561,21431,12836,10438,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),49014,31555,42055,28081,16933,31998,32478,26018,9356,17922,10336,8643,
营业成本(万元),28052,17811,24188,16304,9886,21247,21452,18619,7360,13296,7746,6657,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),489,357,479,340,198,408,266,268,94,40,22,21,
销售费用(万元),13423,8776,11809,7224,4442,6326,5779,3415,696,1363,862,528,
管理费用(万元),5019,3174,5625,3693,2235,4541,3956,3274,1145,3140,1695,1386,
财务费用(万元),1671,1124,-422,114,54,-421,191,122,47,52,-32,49,
资产减值损失(万元),360,313,376,404,118,-104,833,319,13,31,43,3,
公允价值变动收益(万元),--,--,-74,-74,27,74,--,-384,-53,21,-28,-406,
投资收益(万元),63,61,123,201,30,68,109,417,42,61,88,80,
对联营企业和合营企业的投资收益(万元),-0,-0,-9,-7,-23,-6,-7,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),4470,3017,6781,4503,3356,5801,3406,3909,2194,3591,2560,1469,
营业外收入(万元),810,760,400,329,232,552,409,542,132,449,172,129,
营业外支出(万元),60,42,244,83,51,274,331,296,24,155,83,61,
非流动资产处置损失(万元),27,12,--,--,--,20,3,3,--,23,44,--,
利润总额(万元),5221,3734,6936,4749,3537,6080,3485,4154,2302,3886,2648,1537,
所得税费用(万元),821,595,928,569,466,994,766,631,341,957,221,15,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4400,3140,6008,4180,3071,5086,2719,3523,1961,2929,2428,1522,
归属于母公司所有者的净利润(万元),4401,3141,6008,4180,3071,5086,2719,3523,1961,2929,2229,1444,
被合并方在合并前实现净利润(万元),-34,-34,--,--,--,--,--,--,--,-8,--,--,
少数股东损益(万元),-1,-1,--,--,--,--,--,--,--,-0,198,78,
基本每股收益,0.68,0.49,0.95,0.66,0.49,0.85,0.45,0.59,0.33,0.52,0.47,0.31,
稀释每股收益,0.68,0.49,0.95,0.66,0.49,0.85,0.45,0.59,0.33,0.52,0.47,0.31,
