报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),108592,409214,271854,154756,70229,216618,141554,88212,37733,202255,149082,97738,38496,121468,88419,57291,125636,98191,49350,83643,57745,34682,
营业收入(万元),108592,409214,271854,154756,70229,216618,141554,88212,37733,202255,149082,97738,38496,121468,88419,57291,125636,98191,49350,83643,57745,34682,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),105953,398953,266570,150905,67849,208554,135043,84310,36252,197214,146425,95695,37632,115474,84152,54399,118964,90893,45897,76603,52201,31501,
营业成本(万元),102127,382599,256715,144587,64745,197081,128007,79610,33950,187317,139649,91135,34968,106553,77019,49590,109212,79934,40719,67908,46159,28428,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),288,1077,717,500,259,758,306,227,90,330,294,263,126,474,363,212,1286,2104,1100,2362,1775,958,
销售费用(万元),510,2319,1395,780,218,1311,738,473,247,916,657,291,164,519,433,292,575,553,240,232,299,220,
管理费用(万元),2554,11578,7120,4690,2352,8890,5579,3325,1506,6496,4791,3080,1782,6435,4730,3090,6666,6386,2783,5549,3693,1885,
财务费用(万元),230,680,402,180,86,425,368,308,89,985,857,698,345,1669,1267,802,1123,1529,717,471,164,7,
资产减值损失(万元),243,701,223,167,190,88,45,367,369,1170,176,228,246,-176,339,413,102,388,338,81,110,4,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),208,684,376,226,111,436,304,128,18,35,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,504,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),3782,12570,5659,4078,2491,8500,6815,4030,1500,5075,2658,2042,864,5994,4267,2892,6672,7298,3452,7040,5545,3181,
营业外收入(万元),5,53,1523,1204,286,1307,892,720,473,1699,711,438,292,1170,612,223,991,485,111,267,182,9,
营业外支出(万元),-10,1014,643,230,88,378,472,143,109,213,88,41,23,435,318,292,299,335,89,412,30,82,
非流动资产处置损失(万元),--,--,284,4,1,96,232,3,0,26,25,16,4,16,9,1,27,18,10,265,1,62,
利润总额(万元),3798,11609,6540,5051,2690,9428,7235,4608,1865,6561,3281,2439,1133,6729,4561,2822,7365,7447,3473,6895,5696,3108,
所得税费用(万元),914,3215,1603,1267,654,2495,1848,1185,465,1720,820,636,316,1835,1140,832,1948,1918,922,1834,1457,806,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2884,8395,4937,3784,2036,6934,5386,3423,1399,4840,2461,1802,817,4894,3421,1990,5417,5529,2551,5061,4239,2302,
归属于母公司所有者的净利润(万元),2177,6195,3885,3013,1605,5820,4466,2812,1164,4369,2360,1595,750,4892,3421,1989,5418,5529,2551,5061,4239,2302,
