报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),54606,24316,118981,84589,57867,28307,149677,93235,61095,28276,143935,92853,60402,29493,128702,89470,58559,27895,116824,80077,53231,26330,103390,73962,50175,25014,93387,64806,43407,21485,85221,59166,40930,19030,76437,54886,37005,17945,83862,62636,45091,17477,77154,54993,34164,15745,54525,40302,27586,14623,
营业收入(万元),54606,24316,118981,84589,57867,28307,149677,93235,61095,28276,143935,92853,60402,29493,128702,89470,58559,27895,116824,80077,53231,26330,103390,73962,50175,25014,93387,64806,43407,21485,85221,59166,40930,19030,76437,54886,37005,17945,83862,62636,45091,17477,77154,54993,34164,15745,54525,40302,27586,14623,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
营业总成本(万元),53135,23277,116502,82031,55490,27056,142293,89195,57984,27387,137834,88048,57452,28589,125901,87436,57225,28000,115833,81283,54130,26408,101824,73220,49180,23900,91029,62601,41233,20384,82008,55888,37863,17617,74390,51754,34393,16748,80811,59194,42743,16366,72922,51622,32313,15108,52888,38528,26535,14267,
营业成本(万元),40301,17562,89639,62777,41857,20087,110240,67835,44659,20830,107696,68511,44761,22577,97591,67000,43858,22017,88917,61027,40809,20723,76690,55034,36624,17842,67422,47640,31940,15893,62023,42765,28745,13828,58033,41605,27632,13325,62956,46584,33463,12567,61794,42798,26443,11978,43531,32095,22228,11801,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
营业税金及附加(万元),214,43,993,624,372,275,1133,582,338,239,617,304,184,116,624,333,225,29,590,317,274,93,618,428,284,127,351,199,146,36,373,279,237,102,483,385,298,182,345,317,233,121,219,149,50,21,259,211,181,113,
销售费用(万元),3528,1330,8093,6463,4621,2394,10708,6971,4096,1934,9033,6186,4125,2037,9695,5672,3874,1764,7954,5454,3443,1687,7736,5621,3611,1969,7703,5074,3151,1725,6972,4791,3192,1361,5728,3908,2648,1207,6514,4960,3600,1583,4326,3217,1987,1033,2941,2026,1438,838,
管理费用(万元),7741,3572,16771,11768,8108,3924,18277,13268,8091,3857,16874,11665,7255,3224,14544,13085,8692,3916,15161,11585,7708,3394,14091,10297,6907,3563,11656,8267,5479,2462,10075,7179,4684,2184,8995,5877,3775,1759,8323,6302,4430,1446,6455,4796,2911,1771,6726,3832,2473,1213,
财务费用(万元),114,524,-541,-346,-200,-44,-753,-353,-211,20,1400,769,278,15,1162,469,-190,-236,2170,2066,1153,45,1931,1098,1150,88,2736,1283,332,103,-26,-30,194,27,-109,36,105,227,1284,715,441,179,55,-36,7,-59,-164,-85,-67,-41,
资产减值损失(万元),1238,247,1546,745,733,419,2688,891,1011,505,2215,613,849,620,2285,877,768,509,1042,836,743,465,758,750,604,311,1161,138,184,166,2589,904,811,115,1259,-59,-66,48,1391,317,576,469,72,698,916,363,-404,449,282,344,
公允价值变动收益(万元),124,137,-62,86,-125,-287,-36,-150,-52,-157,-228,-60,-120,-202,5,-59,-228,-154,73,51,36,11,148,7,-3,39,8,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
投资收益(万元),-137,-143,-1337,-807,-541,-187,-467,-478,-139,-53,-165,-251,-199,-105,-378,-101,-43,-1,--,--,--,--,-42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
对联营企业和合营企业的投资收益(万元),-169,-46,-621,-152,-88,-29,-242,-193,-123,-53,-314,-251,-199,-105,-378,-101,-43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,0,0,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
营业利润(万元),2575,1031,4241,2877,1711,776,6881,3412,2920,679,5708,4495,2632,596,2428,1875,1063,-260,1064,-1156,-863,-67,1671,741,992,1152,2365,2205,2174,1101,3213,3278,3067,1413,2047,3132,2612,1197,3051,3441,2348,1111,4232,3371,1850,638,1637,1773,1051,355,
营业外收入(万元),6,13,26,836,1018,382,2999,1897,778,485,2446,801,794,687,4353,2010,1394,1375,4296,3299,2442,1137,2676,1796,891,33,2223,950,576,115,1282,345,98,94,1315,217,28,7,1818,935,579,164,469,10,9,24,893,244,7,7,
营业外支出(万元),8,0,47,17,16,14,166,119,112,11,140,46,27,15,223,28,16,12,96,66,58,6,96,102,66,14,100,47,35,8,74,29,20,8,26,14,9,5,126,74,69,15,26,19,15,10,211,35,21,7,
非流动资产处置损失(万元),--,--,--,15,16,13,20,12,11,6,63,15,13,6,201,7,1,1,47,39,35,1,24,24,23,9,18,6,1,1,--,11,8,3,--,0,0,--,0,--,0,--,0,--,--,0,71,0,--,--,
利润总额(万元),2573,1044,4219,3696,2713,1144,9714,5190,3585,1154,8015,5250,3399,1268,6558,3857,2440,1103,5265,2077,1521,1064,4251,2436,1818,1172,4488,3109,2715,1208,4421,3593,3145,1500,3336,3335,2630,1200,4743,4302,2858,1261,4675,3362,1845,652,2318,1982,1037,355,
所得税费用(万元),542,249,475,711,428,292,993,579,439,176,998,661,440,216,689,457,282,144,1524,790,454,143,713,494,318,256,1184,708,563,297,1075,962,866,444,188,570,443,202,493,530,300,202,520,484,290,152,100,221,113,46,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,0,0,--,--,
净利润(万元),2031,795,3745,2985,2285,851,8721,4611,3146,978,7017,4590,2959,1052,5869,3400,2159,959,3740,1287,1067,921,3539,1942,1500,916,3304,2401,2152,911,3346,2631,2279,1056,3149,2765,2187,998,4250,3772,2559,1059,4155,2878,1555,499,2218,1761,924,309,
归属于母公司所有者的净利润(万元),2121,798,3773,2945,2338,876,8171,4149,2722,823,6432,4127,2689,948,5756,3114,1974,849,4397,1855,1360,915,3864,2286,1797,971,3550,2292,2053,862,3263,2584,2273,1035,3139,2734,2155,985,4205,3687,2511,1031,4079,2812,1542,492,2217,1754,913,270,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,849,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-90,-3,-28,40,-53,-25,550,461,423,155,585,463,269,105,112,287,184,110,-657,-568,-293,6,-325,-343,-297,-55,-246,109,99,49,83,47,6,22,10,32,32,13,45,84,48,28,75,66,13,7,2,7,11,39,
基本每股收益,0.06,0.02,0.11,0.09,0.07,0.03,0.24,0.12,0.08,0.02,0.19,0.12,0.08,0.03,0.2,0.11,0.07,0.04,0.2,0.08,0.06,0.04,0.18,0.1,0.08,0.04,0.16,0.1,0.09,0.04,0.16,0.13,0.11,0.05,0.2,0.18,0.14,0.06,0.28,0.24,0.16,0.09,0.35,0.24,0.13,0.04,0.19,0.17,0.08,0.03,
稀释每股收益,0.06,0.02,0.11,0.09,0.07,0.03,0.24,0.12,0.08,0.02,0.19,0.12,0.08,0.03,0.2,0.11,0.07,0.04,0.2,0.08,0.06,0.04,0.18,0.1,0.08,0.04,0.16,0.1,0.09,0.04,0.16,0.13,0.11,0.05,0.2,0.18,0.14,0.06,0.29,0.24,0.16,0.09,0.35,0.24,0.13,0.04,0.19,0.17,0.08,0.03,
