报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),35461,135780,123268,80056,33150,157238,116636,65149,22313,164033,106226,77371,37591,121014,79865,53544,24887,117007,81716,45270,20228,84874,62768,33775,13885,66516,46435,30404,11472,42419,32287,20096,7438,31409,23428,5506,21824,13522,
营业收入(万元),35461,135780,123268,80056,33150,157238,116636,65149,22313,164033,106226,77371,37591,121014,79865,53544,24887,115304,81716,45270,20228,84874,62768,33775,13885,65880,46435,30404,11472,42419,32287,20096,7438,31409,23428,5506,21824,13522,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1703,--,--,--,--,--,--,--,636,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),35980,247661,124429,75562,32134,144043,98418,57018,21598,164961,100931,74559,34740,120534,76405,51736,23176,110020,78823,43195,19154,82407,59920,31768,12712,60067,40786,26626,10413,37426,27062,16888,6359,26257,20014,4736,17327,11088,
营业成本(万元),22927,107320,85704,50613,18511,104692,69509,36851,11271,114420,71286,54298,25543,76111,48987,33729,16339,78773,58485,31620,14501,61854,46518,23995,9829,45411,31832,20630,7769,28345,21484,13419,4784,20951,15985,3639,14053,8491,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业税金及附加(万元),237,2025,1067,844,433,1989,659,434,228,2528,1455,1058,308,828,543,403,166,646,356,208,84,330,160,99,26,229,168,115,22,198,149,137,43,154,112,20,117,85,
销售费用(万元),843,12720,2091,1210,807,2716,3570,2620,697,2757,2253,1527,692,5474,4427,3100,1280,6599,4204,2290,1086,5984,4146,2951,950,5137,3069,1984,838,3392,2181,1413,577,2119,1607,336,1744,1115,
管理费用(万元),5493,25263,15691,9805,5023,18853,14524,9315,4463,17812,12698,8055,3795,18392,11834,7908,3003,13323,8479,4863,1948,9406,6191,3442,1341,6280,3862,2624,1201,3897,2384,1399,659,2081,1556,469,1103,787,
财务费用(万元),6474,28866,18867,11517,5777,9239,9582,7224,4575,23052,12499,9153,4236,16856,9828,6133,2315,10445,6754,3978,1473,4145,2263,1114,531,2197,1613,1071,552,1209,841,504,297,694,733,264,352,592,
资产减值损失(万元),8,71467,1010,1573,1582,6554,573,573,363,4391,741,468,165,2874,786,462,74,235,546,236,61,687,641,166,34,813,242,202,32,385,23,16,0,258,21,7,-41,18,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
投资收益(万元),893,1561,1973,1272,13,1320,-600,143,-265,87822,12292,10605,1799,20971,9648,8449,686,10517,6991,3619,621,4765,2024,1323,-82,-205,-261,-148,-68,--,--,--,0,0,--,0,5,0,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,9703,--,--,--,9648,8021,--,--,5977,3619,621,--,--,--,-82,--,--,--,-68,--,--,--,0,0,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业利润(万元),374,-108725,811,5766,1029,14515,17618,8274,451,86894,17587,13417,4651,21450,13108,10257,2397,17504,9885,5694,1696,7232,4872,3330,1091,6244,5388,3630,991,4993,5225,3209,1079,5152,3415,770,4502,2433,
营业外收入(万元),276,75,1315,811,547,2013,1149,559,276,1275,495,282,102,2613,2124,1524,2036,2219,1509,799,322,2409,2294,1443,676,2175,484,185,122,1350,347,193,109,558,556,35,199,110,
营业外支出(万元),19,24906,191,127,38,262,210,60,43,73,62,48,38,84,73,31,15,78,23,23,17,113,95,58,7,18,13,8,3,16,12,3,0,2,2,1,47,6,
非流动资产处置损失(万元),--,--,--,--,--,19,--,--,--,10,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,28,6,
利润总额(万元),631,-133556,1935,6450,1538,16266,18556,8774,684,88096,18020,13651,4714,23979,15158,11750,4418,19645,11371,6471,2000,9529,7070,4714,1760,8401,5860,3807,1110,6327,5560,3398,1188,5708,3969,804,4654,2538,
所得税费用(万元),11,-1321,1400,802,764,4328,2041,661,51,14048,1832,1052,650,-17,1036,650,397,1122,337,427,225,832,1038,703,412,1274,1278,835,246,985,861,530,169,849,616,128,674,260,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
净利润(万元),620,-132235,536,5647,773,11938,16515,8113,633,74048,16188,12599,4065,23996,14122,11100,4021,18523,11034,6044,1775,8696,6032,4011,1348,7127,4582,2972,864,5342,4699,2868,1019,4859,3352,676,3980,2279,
归属于母公司所有者的净利润(万元),791,-131840,372,5528,696,11908,16507,8128,676,73966,16148,12559,4057,23386,13245,10551,3635,17472,10113,5456,1677,8381,5851,4114,1408,7220,4780,3168,894,5342,4699,2868,1019,4859,3352,676,3980,2279,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-456,--,--,--,-93,--,--,--,--,--,--,0,0,--,0,0,0,
少数股东损益(万元),-171,-395,164,119,77,29,8,-15,-44,83,40,40,8,610,877,549,386,1050,921,588,98,316,181,-103,-60,-93,-198,-196,-30,--,--,--,0,0,--,0,0,0,
基本每股收益,0.01,-1,0,0.04,0.01,0.09,0.13,0.06,0.01,0.7,0.31,0.24,0.08,0.54,0.32,0.24,0.12,0.65,0.39,0.21,0.07,0.33,0.23,0.16,0.06,0.28,0.19,0.12,0.07,0.48,0.42,0.3,0.11,0.55,0.33,0.08,0.53,0.44,
稀释每股收益,0.01,-1,0,0.04,0.01,0.09,0.13,0.06,0.01,0.7,0.31,0.24,0.08,0.54,0.32,0.24,0.12,0.65,0.39,0.21,0.07,0.33,0.23,0.16,0.06,0.28,0.19,0.12,0.07,0.48,0.42,0.3,0.11,0.55,0.33,0.08,0.53,0.44,
