报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,2005-12-31,
营业总收入(万元),2534400,9185000,6879100,4633400,2365700,9403700,7075400,4696800,2354000,9315900,7004700,4553800,2226300,7853100,5793000,3746000,1793900,6530600,4876800,3378200,1678200,5991600,4437839,3047942,1509483,4607255,3386464,2292986,1115346,3552999,2638501,1731470,850549,2425865,1795840,2470100,2004437,1379339,1190429,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
利息收入(万元),3943700,16034300,11856200,7869900,3867100,14345000,10583900,6961000,3471700,14190700,10687500,7114900,3579800,13392600,10010300,6614200,3279500,12008200,8901500,5836800,2857300,10397100,7662936,5073550,2440552,7788459,5621589,3608382,1724313,5415553,3958991,2529446,1197458,3742413,2719646,4310489,3110589,2351704,1884731,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
手续费及佣金收入(万元),988700,3302500,2501000,1694800,866600,2993200,2238500,1460200,725900,2774500,2126200,1421100,697200,2044500,1439100,925800,438500,1576200,1163800,766600,359500,999400,702654,516323,257973,738108,564265,399371,200163,508089,396985,270097,133785,353274,284529,260682,167750,85361,66944,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
其他业务收入(万元),8800,49400,32900,22500,7300,33200,22200,15000,7500,11900,8200,4300,2200,14200,11000,9500,3100,12400,9300,7000,4200,12600,6532,5210,1224,7461,5549,3545,2015,5854,4635,3424,2135,6153,5220,8688,5023,6025,5785,
营业总成本(万元),1426500,5126900,3582600,2433100,1221300,5410000,3864200,2535000,1241900,5391900,3843600,2406300,1124800,4011500,2731500,1674900,718900,3102100,2127700,1438600,627500,2840500,1909874,1322700,588624,2192538,1497422,1063830,475667,1854878,1298494,805189,345292,1373598,1003749,1657158,1157925,938261,817022,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
利息支出(万元),2682100,9939300,7346200,4831600,2346800,7816200,5700700,3698500,1829300,7544800,5721700,3904400,2022400,7566700,5663400,3830400,1971600,6922000,5047700,3231400,1553200,5370800,3869816,2542776,1223731,3844436,2723160,1720632,799474,2373346,1740949,1105713,521695,1782207,1342807,2076915,1333347,1056749,808887,
手续费及佣金支出(万元),57300,225100,146700,95600,45800,182000,116000,70400,35700,144400,100100,65300,31900,128800,94800,62600,28800,81000,53200,31700,14500,51500,34953,22531,10439,40796,29298,19231,8902,37237,25072,15719,7595,37612,25839,43250,48788,26125,9645,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
其他业务成本(万元),11800,35700,26900,16500,8200,22700,14700,7800,3000,10100,7400,5200,2600,12900,9800,7200,4400,15900,10800,6700,2900,10300,6587,3994,1725,5912,4203,2600,934,3627,2467,1628,859,3311,2428,2335,3641,2751,3912,
营业税金及附加(万元),26500,102500,77700,54300,24900,288500,268300,247200,172100,709600,529300,354300,175900,636100,467900,300200,143100,560700,416700,270900,122300,455100,327850,218670,107785,344813,250061,162347,77839,243076,178726,116007,55083,181009,134956,195955,146636,104240,80795,
销售费用(万元),692200,2931700,2053900,1359300,639600,2705700,1969900,1284400,588200,2507000,1851900,1208100,547200,2341600,1657800,1054700,468700,2062200,1371500,936000,430400,1795600,1238825,856092,390932,1472005,1018044,675345,328375,1259035,933648,589880,252313,953298,652349,830101,637692,543087,468334,
管理费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
财务费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
资产减值损失(万元),696000,2057000,1424100,1003000,548600,2393100,1611300,995600,478600,2165200,1455000,838700,399100,1020900,596000,312800,102700,463300,328700,225000,71900,579500,336614,243943,88183,369808,225115,223537,68520,349140,183654,97674,37037,235980,214016,628767,369958,288183,263980,
公允价值变动收益(万元),-45200,-272600,-200000,-133700,-35900,21300,3500,45900,-28800,4100,6100,-51600,-30600,130000,89200,124200,146700,-52400,-113000,17700,23700,20100,-3662,71869,73837,-104258,-96660,-25914,-30522,-46614,-31527,-13165,4106,27777,35126,-32161,51877,-9993,8507,
投资收益(万元),407600,-21200,-10700,-6900,3800,-24600,13600,1000,22300,31100,17700,18800,14100,-11700,-7900,-11400,-5100,-47500,-13100,-800,-9000,-36100,-29163,-18688,-15695,-13309,1828,16706,14009,44669,49135,46582,34676,75521,86997,21438,36617,12185,30155,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,--,--,--,--,--,0,0,
汇兑收益(万元),-30300,246400,192600,114000,49400,33800,30400,-17400,20400,-7200,-19200,16000,17900,-21000,9500,-23300,-68400,36700,29200,14000,10200,20800,3311,-35014,-14238,76025,42352,30759,13743,36030,26304,16519,7680,40547,32969,21129,14716,16933,12838,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
营业利润(万元),1107900,4058100,3296500,2200300,1144400,3993700,3211200,2161800,1112100,3924000,3161100,2147500,1101500,3841600,3061500,2071100,1075000,3428500,2749100,1939600,1050700,3151100,2527965,1725242,920859,2414717,1889043,1229157,639679,1698121,1340007,926281,505257,1052267,792090,812942,846511,441078,373408,
营业外收入(万元),3400,16800,8200,5100,3500,32800,14200,11300,3300,20500,10900,4900,2500,24000,13300,10000,2700,22100,10800,5600,2200,15400,7997,5086,1048,12615,7413,3206,1768,20236,2646,1609,370,5209,1945,7913,6041,4445,4673,
营业外支出(万元),1300,10300,6900,5000,3200,8500,4000,1900,700,8700,5600,3400,2100,10200,7100,4000,1300,8500,3600,2400,500,7500,3686,1362,633,6194,2976,1712,550,7301,3115,3147,419,8208,4852,28451,13618,5875,5553,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
利润总额(万元),1110000,4064600,3297800,2200400,1144700,4018000,3221400,2171200,1114700,3935800,3166400,2149000,1101900,3855400,3067700,2077100,1076400,3442100,2756300,1942800,1052400,3159000,2532275,1728967,921274,2421138,1893479,1230652,640897,1711057,1339538,924743,505208,1049268,789184,792404,838934,439648,372528,
所得税费用(万元),202900,903500,749800,503200,284800,979200,772500,524400,268700,978100,774800,522300,264700,962600,731400,489900,258400,766700,586300,448900,254900,797000,626674,435352,234663,612626,478678,308520,154123,431687,333622,241333,121913,284944,202127,60774,335019,174661,118456,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
净利润(万元),907100,3161100,2548000,1697200,859900,3038800,2448900,1646800,846000,2957700,2391600,1626700,837200,2892800,2336300,1587200,818000,2675400,2170000,1493900,797500,2362000,1905602,1293615,686611,1808512,1414801,922132,486774,1279370,1005916,683410,383295,764324,587057,731630,503915,264987,254072,
归属于母公司所有者的净利润(万元),905100,3154500,2543300,1693900,857900,3032900,2443700,1643900,844600,2952800,2387500,1624100,835800,2888300,2332200,1584500,816700,2671500,2166400,1491700,796400,2359100,1903309,1292048,685977,1806789,1413274,921039,486248,1279023,1005836,683441,383289,764347,587057,731630,503915,264987,254072,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,0,0,
少数股东损益(万元),2000,6600,4700,3300,2000,5900,5200,2900,1400,4900,4100,2600,1400,4500,4100,2700,1300,3900,3600,2200,1100,2900,2293,1567,634,1723,1527,1093,526,347,80,-31,6,-23,--,--,--,0,0,
基本每股收益,0.17,0.64,0.51,0.34,0.18,0.63,0.5,0.33,0.18,0.63,0.51,0.35,0.18,0.62,0.5,0.34,0.18,0.66,0.54,0.37,0.2,0.58,0.47,0.32,0.17,0.45,0.35,0.23,0.12,0.36,0.29,0.2,0.11,--,0.2,0.26,--,0.32,0.31,
稀释每股收益,0.16,0.59,0.48,0.32,0.18,0.63,0.5,0.33,0.18,0.63,0.51,0.35,0.18,0.62,0.5,0.34,0.18,0.66,0.54,0.37,0.2,0.58,0.47,0.32,0.17,0.45,0.35,0.23,0.12,0.36,0.29,0.2,0.11,--,0.2,0.26,--,0.32,0.31,
