报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
营业总收入(万元),47657,30578,59165,39450,54332,43293,
营业收入(万元),47657,30578,59165,39450,54332,43293,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),42054,27487,52287,35239,48799,39775,
营业成本(万元),38685,25413,47820,32237,44150,36904,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),214,121,517,283,295,--,
销售费用(万元),751,426,823,495,898,824,
管理费用(万元),1163,775,1536,905,1563,1322,
财务费用(万元),1133,780,1403,967,1606,540,
资产减值损失(万元),109,-28,189,351,287,184,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),5603,3091,6878,4211,5534,3519,
营业外收入(万元),4,4,13,3,1,0,
营业外支出(万元),19,1,9,9,655,19,
非流动资产处置损失(万元),19,1,--,--,655,19,
利润总额(万元),5588,3093,6882,4205,4879,3500,
所得税费用(万元),908,510,1059,644,867,749,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),4680,2583,5823,3561,4012,2750,
归属于母公司所有者的净利润(万元),4626,2635,5829,3479,3972,2519,
被合并方在合并前实现净利润(万元),--,--,--,--,--,996,
少数股东损益(万元),54,-52,-6,82,40,232,
基本每股收益,0.26,0.15,0.32,0.19,0.23,0.18,
稀释每股收益,0.26,0.15,0.32,0.19,0.23,0.18,
