报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),37350,123709,81709,51765,25093,90989,66445,43430,20625,95091,71412,48593,25508,121626,91614,58336,27190,120739,90702,59226,28551,123049,93638,60618,141892,69327,125137,86848,113059,
营业收入(万元),37350,123709,81709,51765,25093,90989,66445,43430,20625,95091,71412,48593,25508,121626,91614,58336,27190,120739,90702,59226,28551,123049,93638,60618,141892,69327,125137,86848,113059,
利息收入(万元),0,--,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,
已赚保费(万元),0,--,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,
手续费及佣金收入(万元),0,--,0,0,0,--,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),35029,115264,77902,50186,24198,88364,64442,41520,19642,89376,67553,45691,23829,117188,87863,55964,25951,114643,85037,55549,26670,117963,89668,58098,137387,66612,118819,81071,110072,
营业成本(万元),32373,105230,71418,46065,22147,80488,59056,38554,18276,83409,63168,42574,22328,110279,82576,52611,24405,108586,81522,53277,25653,112183,85477,55340,132023,63742,113430,76826,103922,
利息支出(万元),0,--,0,0,0,--,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,
手续费及佣金支出(万元),0,--,0,0,0,--,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),0,--,0,0,0,--,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,
赔付支出净额(万元),0,--,0,0,0,--,0,0,0,--,0,--,0,0,0,0,0,--,0,0,0,0,0,--,--,--,--,--,--,
