报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),25446,107521,83469,56357,29772,119037,90347,60258,32310,129143,47254,30798,15781,39129,29548,19523,10350,37224,28310,19255,10165,32578,24046,16218,8493,23090,16099,10361,5497,18346,14087,9426,5083,18164,13334,8696,13743,10048,13292,12506,
营业收入(万元),25446,107521,83469,56357,29772,119037,90347,60258,32310,129143,47254,30798,15781,39129,29548,19523,10350,37224,28310,19255,10165,32578,24046,16218,8493,23090,16099,10361,5497,18346,14087,9426,5083,18164,13334,8696,13743,10048,13292,12506,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
营业总成本(万元),24443,105042,78757,53060,27485,113467,82613,55456,28912,110564,36432,23524,11713,27491,19926,13067,6633,29628,21997,13469,6753,22828,16024,10573,5372,13913,9762,6120,3317,12812,9513,6566,3599,13236,9532,6278,9629,7055,8369,10307,
营业成本(万元),19204,78178,60075,39840,21580,84619,62566,41637,21976,86690,29840,19326,9595,18279,13665,8917,4551,17151,12492,8129,3993,13768,9892,6503,3151,7983,5453,3348,1658,7419,5706,3911,2134,8187,5728,3646,5887,4324,5945,6146,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,0,0,--,--,0,--,--,
