报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),269184,182422,121167,45462,324285,260058,157145,69470,138771,89449,60722,26562,73404,45545,24219,12512,47590,34060,21514,11579,34537,23743,24561,13885,
营业收入(万元),269184,182422,121167,45462,324285,260058,157145,69470,138771,89449,60722,26562,73404,45545,24219,12512,47590,34060,21514,11579,34537,23743,24561,13885,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),259400,168887,113473,42920,297387,238313,142075,61257,116881,74656,50711,21756,59302,36825,18720,9281,33930,23510,14037,7158,23495,15908,16360,8990,
营业成本(万元),212635,139518,91640,32087,247531,205222,121935,53212,95956,61661,41641,18342,49702,30964,15854,7886,27982,19424,11403,5907,18466,12334,12159,6576,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),11103,8289,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),1548,838,475,258,1280,937,605,240,891,391,307,155,313,196,79,39,241,240,159,112,264,181,190,84,
销售费用(万元),8203,5723,3622,2004,7723,4417,2424,890,2618,1989,1373,411,1359,993,624,276,913,537,336,150,553,304,507,327,
管理费用(万元),13355,10317,12907,6064,27246,17076,10800,4565,11858,7507,5236,2199,6546,4099,2449,981,3813,2512,1524,679,3085,1991,2528,1605,
财务费用(万元),6530,3585,3329,2154,11006,7540,4252,1906,4164,2375,1464,606,501,349,110,-7,443,377,247,127,611,454,514,286,
资产减值损失(万元),6027,616,1501,353,2601,3120,2060,444,1394,732,690,44,881,225,-396,105,537,418,368,184,516,643,462,113,
公允价值变动收益(万元),--,--,--,--,3,3,3,3,-3,--,--,--,-19,-19,-19,-29,19,--,--,--,--,--,--,--,
投资收益(万元),1167,1608,-102,15,2357,2441,2841,-171,-483,-225,-295,-371,-1226,-642,-229,-14,-89,-57,-17,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-394,-263,-73,81,382,407,668,-260,-628,-327,-298,-373,-1223,-632,-219,-27,-89,-57,-17,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,-4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),16152,17292,9573,3272,32339,24189,17915,8045,21404,14569,9716,4435,12856,8059,5251,3188,13590,10494,7460,4421,11042,7835,8201,4895,
营业外收入(万元),64,137,83,25,82,1693,1597,810,1083,424,112,31,382,259,56,35,313,281,259,59,492,478,827,414,
营业外支出(万元),562,455,335,120,93,21,13,3,1529,22,21,20,59,39,22,6,41,27,18,9,42,19,15,65,
非流动资产处置损失(万元),--,--,--,--,--,5,5,17,25,17,17,--,15,11,--,--,--,--,--,--,--,--,--,38,
利润总额(万元),15654,16974,9321,3176,32328,25860,19498,8852,20958,14971,9807,4446,13179,8280,5285,3217,13862,10749,7701,4470,11492,8294,9013,5244,
所得税费用(万元),2598,2698,2477,1060,6157,4731,3763,1664,4448,2635,1745,817,2409,1364,848,487,2115,1606,1165,676,1722,1250,1351,774,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),13057,14275,6844,2117,26171,21129,15735,7189,16510,12336,8061,3629,10770,6916,4437,2731,11747,9143,6535,3795,9770,7043,7662,4469,
归属于母公司所有者的净利润(万元),12574,13983,6637,2230,25857,20791,15386,7291,16516,12420,8114,3640,10769,6917,4436,2730,11747,9143,6535,3795,9770,7043,7662,4469,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),482,293,207,-113,314,338,349,-103,-7,-83,-53,-10,1,-1,1,0,--,--,--,--,--,--,--,--,
基本每股收益,0.53,0.58,0.28,0.09,1.44,1.14,0.84,0.41,0.92,0.69,0.45,0.3,0.9,0.58,0.37,0.23,1.15,0.95,0.68,0.4,1.02,0.73,0.8,0.55,
稀释每股收益,0.53,0.58,0.28,0.09,1.43,1.14,0.84,0.41,0.92,0.69,0.45,0.3,0.9,0.58,0.37,0.23,1.15,0.95,0.68,0.4,1.02,0.73,0.8,0.55,
