报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
营业总收入(万元),897413,559334,286422,1022867,664813,374551,179463,747735,514716,309919,160015,609588,445653,264071,132875,710763,544812,336611,168357,677612,467553,259380,135016,645691,459590,244907,103043,447346,284392,156665,67138,301863,207230,124584,58282,284210,205703,44202,185185,203371,
营业收入(万元),897413,559334,286422,1022867,664813,374551,179463,747735,514716,309919,160015,609588,445653,264071,132875,710763,544812,324913,168357,654353,467553,259380,135016,632696,459590,244907,103043,445263,284392,156665,67138,301863,207230,124584,58282,284210,205703,44202,185185,203371,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11699,--,23259,--,--,--,12995,--,--,--,2083,--,--,--,--,--,--,0,0,--,0,0,0,
营业总成本(万元),887936,552262,273998,994280,634394,353519,169267,738445,493719,298449,153603,595638,410604,248204,125002,649803,496011,309713,150425,614520,419114,233094,117769,586048,410689,218275,90727,401220,254738,139501,59407,262279,178472,106950,50843,256928,186832,40316,174366,187784,
营业成本(万元),797620,501122,257448,910562,585690,321279,154299,631682,436833,264008,137746,531909,386062,232848,115336,603578,464703,287054,143774,588384,406580,223186,114755,556305,395827,211498,88438,386184,247698,135656,57172,253093,172643,103891,49550,248028,180564,38425,164990,180546,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
