报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),3231,2160,1430,476,3299,2243,1761,570,6351,4896,3450,1798,15174,10446,6545,2881,19751,11582,7053,2599,19597,10462,7506,3047,21722,11210,5753,1602,24868,17650,14573,3447,34845,23628,14638,3886,42374,18859,13349,3636,51772,37444,27238,10815,63970,46869,24819,11338,56021,40450,26942,11103,
营业收入(万元),3231,2160,1430,476,3299,2243,1761,570,6351,4896,3450,1798,15174,10446,6545,2881,19751,11582,7053,2599,19597,10462,7506,3047,21722,11210,5753,1602,24868,17650,14573,3447,34845,23628,14638,3886,42374,18859,13349,3636,51772,37444,27238,10815,63970,46869,24819,11338,56021,40450,26942,11103,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),7175,4856,3216,1283,12114,6001,3838,2127,15626,7210,4788,2270,14508,10594,6731,3169,18882,11579,7214,2949,18966,10484,7434,3162,21065,12293,7564,2423,28498,18723,15015,4418,35194,24388,14333,4603,41523,19941,14262,4454,52186,37962,27184,10907,80552,52503,31216,11781,55756,39897,26524,10670,
营业成本(万元),2680,1744,1216,393,2597,1634,1335,410,5395,3968,2780,1439,11123,7638,4754,2368,14917,8284,5018,2083,13849,6815,4865,1827,15626,8984,5474,1283,19093,12526,10303,3028,27450,18889,10735,2947,30096,12904,8787,2650,40461,29456,21581,8447,52716,37404,19919,8769,42466,31278,21073,8144,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,0,--,--,--,--,0,0,--,--,0,--,
