报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),32562,118994,69880,45482,22697,147864,59133,31432,15164,115084,88014,56509,31834,140172,94686,58568,24357,132695,92628,59513,28853,120510,82518,55921,24725,97694,69264,46552,20478,85322,58580,39842,18699,71380,49675,31096,16170,61576,44336,29510,13605,50873,36385,24157,9996,45615,31697,21777,9650,
营业收入(万元),32562,118994,69880,45482,22697,147864,59133,31432,15164,115084,88014,56509,31834,140172,94686,58568,24357,132695,92628,59513,28853,120510,82518,55921,24725,97694,69264,46552,20478,85322,58580,39842,18699,71380,49675,31096,16170,61576,44336,29510,13605,50873,36385,24157,9996,45615,31697,21777,9650,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),29695,115366,66044,42913,20152,99991,50177,26146,12822,81221,64103,43448,28983,136052,90161,55443,21774,128553,87027,55063,26319,115315,77528,51642,22507,92636,64635,42473,18344,80356,54201,36472,16421,66340,45347,28207,14284,56993,40463,26719,11919,47981,33643,21854,8489,45089,30724,21124,8619,
营业成本(万元),24924,86632,53919,35788,16906,74497,34967,19151,9448,65952,52781,35402,19122,87050,58776,34815,13897,84138,59140,39133,18411,79417,56099,37221,16156,66896,47934,32301,13916,57294,39164,26613,12347,47207,32755,20540,10766,40501,29394,19204,8846,32923,23609,15709,6532,31299,22127,14989,6817,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,
