报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),8730,29612,22274,15019,8269,31288,22727,14930,8157,30892,22716,14417,7164,25447,18460,11601,5782,17815,12579,10504,
营业收入(万元),8730,29612,22274,15019,8269,31288,22727,14930,8157,30892,22716,14417,7164,25447,18460,11601,5782,17815,12579,10504,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),7280,26341,18986,11767,5712,23952,15850,10316,4859,19471,13404,8626,4036,15995,11113,7082,3537,11304,7819,6645,
营业成本(万元),1266,3858,2916,1719,915,4082,2916,1830,1039,3763,2698,1730,902,3639,2613,1660,820,2603,1785,1524,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),139,542,409,272,153,571,333,218,125,450,333,211,112,386,283,175,90,254,169,153,
销售费用(万元),3322,13916,9448,5984,2697,11087,7452,4873,2548,10795,7262,4281,1913,7927,5657,3612,1822,5439,3461,2745,
管理费用(万元),2793,9152,7020,4326,2161,9142,5712,3775,1356,4940,3395,2486,1087,4064,2563,1645,817,3069,2396,2166,
财务费用(万元),-289,-1196,-874,-565,-234,-1035,-620,-429,-239,-601,-382,-172,-11,-89,-74,-48,-16,-106,-35,39,
资产减值损失(万元),48,68,67,31,19,105,56,49,29,124,97,88,33,66,71,38,3,45,43,18,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-130,-276,-135,-269,-148,-355,-331,-161,-3,-8,--,--,--,--,--,--,--,--,--,10,
对联营企业和合营企业的投资收益(万元),-130,-276,-135,-269,-148,-369,-345,-175,-18,-8,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1409,3696,3515,3187,2409,6982,6546,4454,3295,11414,9312,5791,3128,9452,7347,4519,2245,6512,4760,3869,
营业外收入(万元),18,63,129,102,123,566,493,384,68,920,833,562,127,494,443,390,147,421,412,169,
营业外支出(万元),20,243,230,213,180,99,71,35,21,194,176,138,12,95,69,22,10,204,96,24,
非流动资产处置损失(万元),--,--,0,0,--,2,0,0,--,1,0,0,--,3,2,0,0,8,26,1,
利润总额(万元),1406,3516,3414,3076,2351,7449,6968,4802,3342,12140,9970,6215,3243,9852,7721,4887,2383,6729,5077,4013,
所得税费用(万元),197,159,471,350,311,808,1042,727,522,1791,1708,950,488,1475,1183,751,357,1002,761,631,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1209,3357,2943,2726,2040,6641,5926,4075,2820,10349,8262,5265,2755,8377,6538,4136,2025,5726,4316,3382,
归属于母公司所有者的净利润(万元),1209,3357,2943,2726,2040,6641,5926,4075,2820,10349,8262,5265,2755,8377,6538,4136,2025,5726,4316,3382,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,-4,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.09,0.24,0.21,0.19,0.14,0.47,0.42,0.29,0.2,0.92,0.65,0.87,0.49,1.5,1.17,0.74,0.36,1.02,0.77,0.63,
稀释每股收益,0.09,0.24,0.21,0.19,0.15,0.47,0.42,0.29,0.2,0.92,0.65,0.87,--,1.5,1.17,0.74,--,1.02,0.77,0.63,
