报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
营业总收入(万元),23873,105108,79770,51564,24885,72077,51893,31760,13302,53426,34727,21778,10006,46856,34612,22885,10453,41561,30155,19925,7446,40026,28598,33231,26268,
营业收入(万元),23873,105108,79770,51564,24885,72077,51893,31760,13302,53426,34727,21778,10006,46856,34612,22885,10453,41561,30155,19925,7446,40026,28598,33231,26268,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),20952,95686,71653,45578,21958,64351,42022,25737,10741,44933,28166,17740,8187,36766,25639,16718,7867,32061,22663,15032,5981,31528,22442,25655,20330,
营业成本(万元),6716,27292,20681,13693,6964,28850,22413,14140,6050,27109,16691,10230,4860,20608,15327,10230,5046,21755,16046,10848,4176,23452,16786,18367,15327,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),479,4235,2801,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),508,2157,1629,1012,486,1178,851,540,258,823,325,205,104,587,445,298,157,387,263,157,60,349,243,299,230,
销售费用(万元),10947,53426,40565,25441,11782,22311,10987,5919,2003,7911,4552,3028,1238,6935,4420,2699,880,3538,2028,1259,487,2708,1779,2643,1411,
管理费用(万元),1910,8284,5125,5067,2466,11228,7388,5081,2287,9579,6951,4478,1995,9070,5692,3505,1765,6427,4274,2751,1298,4952,3519,4402,3429,
财务费用(万元),27,-290,-274,-213,-62,-64,-45,-117,24,-663,-507,-337,-74,-539,-458,-350,-201,-183,-118,-83,-40,-57,-38,-87,-60,
资产减值损失(万元),364,582,1126,578,322,848,427,174,120,174,155,135,65,105,214,336,221,138,171,99,--,124,152,32,-8,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-139,-1294,-921,-610,-129,-449,-787,-572,-354,-93,203,340,51,799,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),-149,-1294,-921,-610,-816,-859,-787,-573,-354,-462,117,267,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),2997,9208,7774,5871,2798,8021,9085,5452,2207,8399,6764,4378,1870,10889,8973,6167,2586,9500,7492,4892,1465,8498,6157,7575,5937,
营业外收入(万元),1,63,41,34,74,63,425,337,63,502,466,344,92,872,930,799,216,609,501,461,182,390,310,274,295,
营业外支出(万元),1,53,43,40,7,48,37,13,5,39,27,2,1,290,662,837,71,24,24,0,0,6,0,15,19,
非流动资产处置损失(万元),--,--,--,--,--,--,5,1,-0,26,25,1,0,67,65,5,0,24,24,0,0,1,0,13,1,
利润总额(万元),2997,9219,7771,5866,2865,8036,9472,5776,2265,8862,7203,4720,1961,11471,9240,6129,2730,10086,7969,5353,1647,8882,6466,7835,6213,
所得税费用(万元),450,1238,1127,862,376,1574,1503,854,294,1519,1109,730,298,1780,1367,891,391,1498,1264,855,254,1320,1035,1133,1053,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),2547,7981,6645,5004,2489,6462,7969,4922,1971,7343,6093,3990,1663,9691,7873,5238,2339,8587,6705,4498,1392,7562,5431,6702,5161,
归属于母公司所有者的净利润(万元),2392,7299,6093,4635,2337,5968,7543,4632,1782,6976,5693,3782,1579,9068,7282,4767,2071,8099,6327,4239,1265,7344,5257,6611,5188,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),155,681,552,369,153,494,425,290,189,368,400,208,84,623,591,470,268,488,377,259,127,218,174,91,-27,
基本每股收益,0.06,0.17,0.14,0.11,0.05,0.14,0.17,0.11,0.04,0.16,0.13,0.09,0.11,0.64,0.51,0.34,0.19,0.96,0.77,0.52,0.15,0.9,0.64,0.81,0.63,
稀释每股收益,0.06,0.17,0.14,0.11,0.05,0.14,0.17,0.11,0.04,0.16,0.13,0.09,0.11,0.64,0.51,0.34,0.19,0.96,0.77,0.52,0.15,0.9,0.64,0.81,0.63,
