报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
营业总收入(万元),406306,298513,194899,89279,283300,199601,137439,65356,269810,203039,131601,60040,272132,195591,130108,56095,290182,209571,135737,61498,284858,216387,138251,66565,265998,203701,128816,59905,216158,164507,106704,44250,178430,129503,85059,38505,158310,124631,79167,207608,163689,208280,110341,
营业收入(万元),406306,298513,194899,89279,283300,199601,137439,65356,269810,203039,131601,60040,272132,195591,130108,56095,290182,209571,135737,61498,284858,216387,138251,66565,265998,203701,128816,59905,216158,164507,106704,44250,178430,129503,85059,38505,158310,124631,79167,207608,163689,208280,110341,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
营业总成本(万元),372635,275266,180782,84659,271122,189741,130749,62869,252915,192492,125259,57655,260132,183317,122405,53036,268636,190806,122865,55032,260110,196940,126010,61462,248113,188876,119971,56509,204187,153708,99696,41837,169968,122366,80138,36594,146576,114618,72277,198454,155332,195810,103987,
营业成本(万元),304477,230055,151144,68646,222478,156447,108854,50426,207514,158042,102337,47928,218316,155505,103969,44140,229826,163068,105054,45982,220695,168207,107584,53884,213382,163073,103607,49539,181683,137845,89541,37453,154528,110891,72823,33141,129237,101009,63096,179610,142065,182024,94572,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
研发费用(万元),15464,11104,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
营业税金及附加(万元),2874,2375,1468,735,1571,1132,1385,592,2161,978,550,242,1178,709,542,232,781,637,522,152,760,526,329,165,637,279,95,35,570,318,162,71,154,67,38,5,445,364,200,495,297,269,321,
销售费用(万元),20769,14649,9711,4721,16536,11980,7547,3827,16750,11782,7727,3657,14203,9839,6326,3394,14172,9971,6608,2872,13717,11054,6810,2972,13316,9964,6442,2544,10044,7245,4911,1885,8268,5700,3787,1597,8168,6658,4452,7579,5780,5473,3537,
管理费用(万元),24556,11307,14105,6326,24448,16446,9917,6663,24023,14869,10013,4455,19297,13002,8233,4178,18880,13939,9098,4507,17305,11102,6463,3145,12917,9743,6379,2916,8525,5712,3444,1708,5693,4768,2913,1325,5791,4279,2813,5426,3661,4073,2833,
财务费用(万元),3756,2697,2279,1964,2372,1357,890,480,182,885,511,654,1776,1405,943,890,2833,2277,1466,961,2657,2271,1484,712,4293,2829,1986,872,2936,1899,1002,398,1184,807,546,256,2587,1914,1364,4127,3372,3518,2437,
资产减值损失(万元),739,3080,2075,2267,3718,2379,2157,881,2284,5936,4121,719,5363,2856,2391,202,2143,913,116,558,4977,3779,3339,584,3570,2988,1463,602,429,688,635,321,141,133,32,269,348,393,352,1217,157,454,287,
公允价值变动收益(万元),-290,-1041,-454,--,1,1,1,1,6,8,11,109,67,24,296,176,-1074,-948,-1204,-1193,742,429,77,31,-75,-244,-390,-193,76,292,210,108,256,--,0,--,0,0,0,0,0,0,0,
投资收益(万元),648,899,891,355,-153,-124,-29,-29,-79,36,41,-29,-95,-40,-20,-120,205,110,30,125,412,372,194,42,378,284,281,270,791,395,280,109,172,--,0,--,0,0,0,0,0,0,0,
对联营企业和合营企业的投资收益(万元),-0,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
汇兑收益(万元),--,--,--,--,-18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
营业利润(万元),37949,25657,15980,5843,14789,9737,6662,2460,16822,10590,6394,2464,11972,12258,7979,3114,20677,17928,11698,5398,25902,20249,12512,5176,18188,14865,8735,3473,12837,11486,7498,2630,8891,7138,4921,1912,11733,10014,6890,9154,8356,12469,6354,
营业外收入(万元),184,136,123,116,135,2554,1076,470,2905,2105,1296,363,2223,1770,834,534,2300,1935,1234,633,1587,751,351,184,1240,696,434,135,1308,601,352,153,632,346,212,104,460,237,165,455,244,430,348,
营业外支出(万元),295,224,203,42,187,184,178,98,586,276,197,124,562,418,308,107,553,561,433,137,1254,574,368,132,709,428,195,94,647,654,371,88,350,228,169,92,164,205,130,339,275,308,212,
非流动资产处置损失(万元),--,--,--,--,--,151,145,79,21,14,13,3,99,79,78,--,53,49,42,--,578,120,52,--,323,127,3,--,178,--,--,--,17,--,0,--,41,14,14,63,0,34,67,
利润总额(万元),37838,25569,15900,5916,14737,12107,7560,2832,19142,12420,7493,2703,13634,13610,8505,3541,22424,19302,12499,5894,26234,20425,12496,5229,18720,15133,8974,3514,13498,11432,7479,2694,9172,7256,4964,1924,12029,10045,6925,9269,8326,12591,6490,
所得税费用(万元),7022,4194,2479,979,1866,1517,1020,497,3277,2030,1394,372,2346,2235,1400,556,3702,3002,1935,885,4154,3138,2126,676,2635,2339,1411,483,1378,1246,756,273,831,928,718,237,1630,1514,1109,319,457,3531,1624,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,
净利润(万元),30816,21375,13421,4937,12871,10590,6539,2335,15865,10389,6099,2332,11287,11375,7105,2985,18722,16300,10564,5009,22080,17287,10370,4552,16084,12794,7563,3031,12120,10187,6722,2421,8341,6328,4246,1686,10399,8532,5817,8950,7869,9060,4866,
归属于母公司所有者的净利润(万元),30364,21558,13240,4821,13382,10801,6672,2431,16777,10704,6262,2363,12280,11686,7370,3126,18994,16376,10506,4879,21719,17131,10148,4303,15490,12468,7357,2978,11198,9246,5980,2050,7322,5549,3820,1606,9543,7755,5390,8124,7143,8047,4717,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,284,300,284,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,
少数股东损益(万元),453,-183,181,116,-512,-212,-133,-96,-912,-315,-163,-31,-992,-311,-265,-142,-273,-76,58,130,361,156,222,250,595,327,206,53,922,941,743,371,1020,778,426,81,856,777,427,826,726,1013,149,
基本每股收益,0.36,0.26,0.16,0.06,0.16,0.13,0.08,0.03,0.2,0.13,0.07,0.03,0.15,0.35,0.22,0.09,0.61,0.52,0.34,0.16,0.7,0.55,0.33,0.14,0.5,0.4,0.24,0.14,0.54,0.44,0.29,0.1,0.35,0.27,0.18,0.1,0.8,0.65,0.45,0.68,0.6,0.67,0.44,
稀释每股收益,0.36,0.26,0.16,0.06,0.16,0.13,0.08,0.03,0.2,0.13,0.07,0.03,0.15,0.35,0.22,0.09,0.61,0.52,0.34,0.16,0.7,0.55,0.33,0.14,0.5,0.4,0.24,0.14,0.54,0.44,0.29,0.1,0.35,0.27,0.18,0.1,0.8,0.65,0.45,0.68,0.6,0.67,0.44,
