报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),68843,34637,155337,114331,62980,22484,101791,66876,30561,16187,79552,6592,4396,1009,10694,10163,6614,2768,20033,17190,12923,5937,36370,31080,24709,13754,39513,29432,22180,
营业收入(万元),68843,34637,155337,114331,62980,22484,101791,66876,30561,16187,79552,6592,4396,1009,10694,10163,6614,2768,20033,17190,12923,5937,36370,31080,24709,13754,39513,29432,22180,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),43129,18402,96721,68031,35115,14283,54531,35585,15483,8996,45172,6553,4539,1240,9590,8846,5561,2158,16804,14175,10569,4883,28436,24085,18904,10382,31286,24101,18470,
营业成本(万元),6662,2914,20898,16253,9342,4083,21317,14902,7744,4295,17768,4367,2821,723,7039,6525,4375,1759,13729,11768,8965,4053,23233,19827,15738,8592,25528,19792,14566,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),464,217,949,720,442,189,631,226,100,49,313,65,29,13,128,89,69,24,159,148,116,73,255,208,153,73,140,76,97,
销售费用(万元),23844,11742,58296,39978,18292,6360,23086,16680,5312,2744,14060,726,612,106,672,845,317,134,1124,920,648,289,1478,1293,992,615,2101,1496,1303,
管理费用(万元),11614,3448,15389,10821,6695,3666,11071,6393,3925,1967,10568,1918,1324,635,2367,1903,1149,557,2665,2034,1315,678,3854,2888,1875,1003,3000,2195,2226,
财务费用(万元),-239,81,7,-314,-229,-15,-1106,-3022,-2010,-60,1,-676,-328,-176,-840,-616,-440,-306,-1079,-771,-533,-286,-469,-187,128,89,500,445,342,
资产减值损失(万元),784,-0,1181,573,574,0,-468,406,412,--,2462,153,81,-61,224,100,91,-8,206,76,58,75,85,56,17,10,17,97,-65,
公允价值变动收益(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),4241,2363,7423,4870,3023,2487,2524,-118,-118,--,16,142,97,18,438,184,--,--,--,--,--,--,--,--,--,--,90,68,--,
对联营企业和合营企业的投资收益(万元),--,-21,-12,--,--,--,--,--,--,--,16,-128,--,-52,-22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),30318,18620,66586,51367,31084,10688,49784,31173,14960,7191,34395,182,-45,-213,1542,1500,1053,609,3229,3014,2354,1054,7934,6995,5805,3373,8316,5399,3711,
营业外收入(万元),15,15,7,256,242,62,498,239,175,4,514,387,359,299,191,113,63,32,901,448,237,7,179,59,38,30,330,220,187,
营业外支出(万元),79,48,147,72,51,35,103,197,18,14,324,--,--,--,16,2,--,--,64,17,17,10,90,--,0,--,12,125,86,
非流动资产处置损失(万元),--,--,--,21,0,--,7,6,6,--,193,--,--,--,--,--,--,--,13,--,--,--,4,--,0,--,4,66,47,
利润总额(万元),30255,18587,66446,51551,31275,10715,50178,31215,15118,7181,34586,568,314,86,1718,1611,1116,642,4066,3445,2573,1051,8023,7054,5843,3403,8635,5494,3812,
所得税费用(万元),4391,2817,9679,7939,4817,1658,7320,4798,2344,1078,5278,79,51,23,299,227,154,97,492,505,377,146,1142,1050,874,580,1363,708,476,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),25864,15770,56767,43612,26457,9057,42859,26416,12774,6103,29308,490,263,63,1418,1384,962,544,3574,2940,2196,904,6880,6004,4969,2822,7272,4787,3336,
归属于母公司所有者的净利润(万元),25209,15725,56628,43641,26426,9131,42487,26551,12818,6102,29306,490,263,63,1418,1384,962,544,3574,2940,2196,904,6880,6004,4969,2822,7272,4787,3336,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),655,46,139,-29,32,-73,372,-135,-44,1,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.26,0.16,0.58,0.45,0.27,0.09,0.44,0.27,0.13,0.13,0.97,0.04,0.02,0.01,0.18,0.17,0.12,0.07,0.45,0.37,0.27,0.11,0.96,0.87,0.78,0.47,1.21,0.8,0.67,
稀释每股收益,0.26,0.16,0.58,0.45,0.27,0.09,0.44,0.27,0.13,0.13,0.97,0.04,0.02,0.01,0.18,0.17,0.12,0.07,0.45,0.37,0.27,0.11,0.96,0.87,0.78,0.47,1.21,0.8,0.67,
