报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2006-12-31,
营业总收入(万元),49087213,32854717,20837899,9325336,48280434,30729713,19010148,8269884,43174343,29122277,18343929,8257368,40442045,27983314,17631058,7435285,36667323,25244430,15856328,6192481,33248677,22780490,14137315,5469308,29622739,20047825,12506895,5031137,29537049,21143802,13942914,5314619,27357150,19334855,12027500,4687750,22848616,9854300,18042953,--,15174510,11579874,
营业收入(万元),49087213,32854717,20837899,9325336,48280434,30729713,19010148,8269884,43174343,29122277,18343929,8257368,40442045,27983314,17631058,7435285,36667323,25244430,15856328,6192481,33248677,22778486,14137315,5469308,29622739,20047825,12506895,5031137,29537049,21143802,13942914,5314619,27357150,19334855,12027500,4687750,22848616,9684000,17888179,7574900,15174510,11579874,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2005,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,170300,154774,--,0,0,
营业总成本(万元),46818934,31336957,19881531,8919259,46385782,29401119,18117783,7875810,41256463,27795324,17484312,7967272,38854936,26932384,17013404,7205503,35283919,24247203,15155919,6001165,31894930,21904311,13557782,5298021,28205688,19263830,11961133,4852173,28332483,20330140,13374151,5135717,26311077,18713649,11590047,4493314,21939028,9398900,17244596,413700,14444507,11152053,
营业成本(万元),42467050,28525204,17948533,8150713,41537202,26609490,16392001,7165150,36740478,25322771,15998103,7122831,34294335,24202087,15327386,6414337,31676531,21985033,13778271,5429746,28916630,19994288,12336917,4757656,25526607,17537493,10841262,4363573,25852854,18635599,12315594,4700130,24229658,17365678,10749022,4154019,20082507,8821400,15690714,6828900,13325032,10089756,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
研发费用(万元),1001431,786596,477441,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,107200,103145,--,0,0,
营业税金及附加(万元),180232,111050,81606,27883,189496,128373,80314,29729,449051,106342,69381,205839,1031521,711935,440925,184622,926491,624538,386987,147972,864248,572270,360733,129962,775306,528110,328506,130569,825383,604020,385943,133168,737940,523205,315504,114227,594492,0,437545,--,352539,267893,
销售费用(万元),117702,69920,46188,18957,99382,63701,39613,18524,84615,50017,34683,17203,69642,42905,28374,14135,52773,33294,22035,10931,48019,33222,20397,17218,61071,42419,27179,13904,62447,43978,28609,15617,56979,40667,27615,13098,49147,21800,48989,23900,40878,39923,
管理费用(万元),2122682,1248227,781127,527085,3032107,1841417,1103518,460052,2774424,1525536,894610,391648,2294041,1277212,785060,344995,1798645,1044655,657664,299220,1464717,914254,582994,291238,1336139,854411,541272,263569,1247895,797033,497572,248571,1030110,634005,394137,201057,905595,350700,732158,307200,599163,561138,
财务费用(万元),650569,477410,395884,213444,958250,592331,374857,207330,763174,591742,347097,245405,734498,595937,349931,248361,699372,508106,300270,137417,414229,323501,200583,100795,371715,269424,197287,91010,270027,217129,117952,54003,213793,139149,90098,24527,208101,97800,183678,82600,111509,123574,
资产减值损失(万元),4029,11065,32553,-18825,569345,165808,127480,-4975,444721,198916,140438,-15654,430900,102307,81729,-947,130107,51576,10693,-24120,187087,66724,56159,1152,134850,31972,25625,-10453,73878,32381,28480,-15773,42596,10946,13672,-13615,99186,0,48367,--,15385,69769,
公允价值变动收益(万元),-24788,8309,7044,-3092,-8486,6926,7911,9138,16201,5953,575,496,-10227,-1531,5298,5898,-16730,-12303,-14789,-9207,8234,5060,-155,-245,2465,-3217,-3155,-1947,968,6346,265,2321,841,1299,4082,287,-66530,0,38827,--,19536,-1050,
投资收益(万元),190935,112799,103432,21713,709455,186785,111134,-902,188929,89697,40514,14687,275231,221733,171516,31919,331184,235308,58147,51329,161886,114440,94006,6447,70639,51103,46852,3851,96952,64311,39404,10387,101996,41945,26505,3672,88614,1400,77940,--,50345,23197,
对联营企业和合营企业的投资收益(万元),7126,3133,--,10089,-881,30347,-13801,-8850,19026,41538,3885,5104,38554,23594,12069,1820,33954,5764,13941,268,22181,30029,3793,816,10988,5025,--,62,17283,2283,6661,394,9902,2523,5545,299,10359,400,7708,--,9111,1564,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,54,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,125,0,-90,0,5,0,0,--,--,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,2500,0,0,
营业利润(万元),2517749,1660804,1082228,426022,2663763,1534049,1017928,402310,2123011,1422602,900705,305333,1852113,1271132,794468,267598,1697858,1220233,743767,233437,1523867,995680,673384,177489,1490154,831881,589459,180867,1302485,884318,608433,191735,1148909,664360,468040,198400,931672,553200,915125,417400,799884,449969,
营业外收入(万元),47291,36460,25577,16467,54034,63762,42360,19825,124778,63173,45573,9155,106805,62566,44688,9293,83771,30767,22433,6650,63405,40202,31013,50256,59291,39248,28317,15656,189229,122501,113013,6669,60170,30165,23887,9430,57894,0,54262,--,42818,23490,
营业外支出(万元),20136,11179,8014,4348,62469,24294,20955,14103,25261,18488,9574,3135,17902,8569,5720,1836,25440,9667,4835,1371,16273,6634,4645,2097,34508,10608,7168,2609,9036,5706,3582,1346,18550,12608,11016,1055,14125,0,13523,--,16994,22214,
非流动资产处置损失(万元),--,--,--,--,--,4268,3346,855,9252,6743,3459,1402,5195,3482,2262,648,3710,--,1212,52,9838,2420,2234,116,5244,2092,1044,295,3636,1551,1517,449,6525,3301,3624,1,3536,0,2446,--,3747,5747,
利润总额(万元),2544904,1686085,1099791,438141,2655328,1573518,1039333,408033,2222528,1467287,936704,311353,1941016,1325129,833436,275055,1756189,1241332,761365,238717,1570999,1029248,699752,225647,1514938,860521,610608,193914,1482678,1001113,717864,197058,1190529,681917,480911,206775,975441,456800,955864,355500,825708,451245,
所得税费用(万元),515529,348587,237631,97510,523450,364194,258227,91837,500305,322333,219002,79589,362759,314950,179924,78015,379952,264671,181514,58535,384193,220224,162351,45752,373956,204464,137515,49050,303262,197744,151196,43337,245441,152500,109741,36142,212130,97800,177971,69400,188601,97580,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
净利润(万元),2029376,1337498,862160,340631,2131878,1209324,781107,316196,1722224,1144954,717703,231764,1578257,1010178,653511,197040,1376237,976661,579851,180182,1186805,809023,537401,179895,1140982,656057,473093,144864,1179416,803369,566668,153721,945089,529417,371170,170633,763311,359000,777894,286100,637107,353665,
归属于母公司所有者的净利润(万元),1968042,1286136,817506,343416,2058078,1172855,753828,314063,1674307,1127364,702302,230556,1569628,1005675,652306,196034,1388750,976509,581083,182137,1213884,805739,535351,179089,1195029,691731,485004,152784,1160133,808652,572191,158556,943707,539772,367205,166932,682511,302500,597982,220000,482493,241621,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-838,--,--,--,13,--,--,--,--,--,--,0,0,--,0,0,0,0,--,--,0,0,
少数股东损益(万元),61334,51362,44653,-2786,73800,36468,27279,2133,47916,17590,15401,1208,8628,4503,1205,1006,-12513,152,-1232,-1955,-27079,3284,2050,806,-54047,-35674,-11910,-7921,19283,-5283,-5523,-4835,1382,-10355,3964,3701,80799,56500,179912,66100,154614,112043,
基本每股收益,1.15,0.74,0.45,0.21,1.21,0.67,0.41,0.19,0.97,0.64,0.38,0.14,0.95,0.6,0.39,0.12,0.86,0.6,0.36,0.11,0.75,0.5,0.33,0.11,0.75,0.44,0.31,0.1,0.78,-0.03,0.39,0.21,0.64,0.35,0.25,0.11,0.46,0.2,0.4,--,0.33,0.22,
稀释每股收益,1.15,0.74,0.45,0.21,1.21,0.67,0.41,0.19,0.97,0.64,0.38,0.14,0.95,0.6,0.39,0.12,0.86,0.6,0.36,0.11,0.75,0.5,0.33,0.11,0.75,0.44,0.31,0.1,0.78,-0.03,0.39,-0.03,0.64,0.35,0.25,0.11,0.46,0.2,0.4,--,0.33,0.22,
