报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
营业总收入(万元),25366,117312,82235,54570,28153,114482,77840,49526,22310,109028,81589,54800,23578,131177,97126,63377,29133,136062,98977,65061,31177,142915,106912,71300,35519,176545,132751,90301,44602,145275,109934,69825,30906,129040,92459,57864,24428,175724,142752,96469,38169,122469,86407,55374,26867,107441,78857,50451,24058,
营业收入(万元),25366,117312,82235,54570,28153,114482,77840,49526,22310,109028,81589,54800,23578,131177,97126,63377,29133,136062,98977,65061,31177,142915,106912,71300,35519,176545,132751,90301,44602,145275,109934,69825,30906,129040,92459,57864,24428,175724,142752,96469,38169,122469,86407,55374,26867,107441,78857,50451,24058,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,--,--,0,--,
营业总成本(万元),27041,125176,86500,57048,28317,120086,81213,51889,24028,116474,86205,57521,25528,134868,100076,65302,30041,141591,103087,67871,32778,144552,104682,68263,35002,174556,128548,85753,41324,143090,107415,69051,30808,139279,100110,60805,27330,176052,141515,94562,37550,121671,85754,54597,26471,106958,78821,50061,24092,
营业成本(万元),23451,105363,73878,48884,24675,102585,69952,44484,20493,99416,74747,50003,22068,119520,88749,57895,26526,125408,91351,60302,29230,129514,95985,63251,30918,153856,114620,77221,37874,127122,98737,63279,28110,120300,85877,54371,23793,158320,127981,85375,33765,109904,77740,49663,24099,97882,71679,45865,21921,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,--,--,0,0,
