报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),47269,20798,2702,19531,13915,7971,3038,37521,33373,21035,13335,24687,16126,5046,1782,12194,6918,4310,1436,8266,5644,3757,1303,8200,5229,3302,1431,7548,5712,5252,3371,2230,
营业收入(万元),47269,20798,2702,19531,13915,7971,3038,37521,33373,21035,13335,24687,16126,5046,1782,12194,6918,4310,1436,8266,5644,3757,1303,8200,5229,3302,1431,7548,5712,5252,3371,2230,
利息收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),40192,18781,3310,19012,13610,7961,3928,56300,41182,25573,15471,29103,18095,6473,2757,12231,6619,3995,1452,7386,4963,3347,1663,6925,4200,2668,1452,5196,3897,3147,2255,1897,
营业成本(万元),32543,14298,2042,11512,8940,4789,2279,37948,33516,20523,12961,19723,12818,3057,1216,7649,4136,2378,812,4585,3053,2084,1012,4756,2730,1705,973,3305,2522,2067,1519,943,
利息支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),103,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),787,301,7,66,43,33,10,83,19,17,17,35,23,20,8,16,2,0,0,13,3,3,1,1,--,0,--,--,0,0,1,0,
销售费用(万元),1539,681,99,1069,711,499,223,2700,1612,1098,519,2230,1458,953,386,1443,894,592,220,1119,702,400,238,707,439,262,103,361,240,150,191,603,
管理费用(万元),3770,2370,830,4177,2937,1975,958,6649,4371,2711,1425,4874,3043,1979,948,3080,1791,1196,513,2261,1571,1100,555,1678,1184,687,320,1253,874,825,528,326,
财务费用(万元),1751,1027,327,1736,971,696,457,1575,1305,1272,704,1259,624,356,199,-180,-193,-159,-92,-563,-416,-289,-143,-270,-171,-5,56,175,162,104,14,13,
资产减值损失(万元),-301,104,5,452,8,-32,-0,7345,360,-47,-155,982,130,107,--,224,-12,-12,--,-29,49,49,--,52,19,19,--,102,98,1,3,12,
公允价值变动收益(万元),--,--,--,0,-56,-36,--,--,--,127,--,13,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),46,23,3,-58,39,16,1,20,-9,9,-66,-472,31,31,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),46,23,3,4,--,16,1,44,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),7215,2248,-532,1117,592,213,-889,-18759,-7818,-4402,-2202,-4877,-1938,-1396,-975,-37,299,316,-16,880,681,411,-361,1276,1028,634,-20,2353,1816,2105,1115,333,
营业外收入(万元),40,25,0,73,143,124,297,725,520,365,135,487,321,214,145,602,544,227,53,478,383,267,248,910,372,107,66,648,613,314,112,265,
营业外支出(万元),45,11,11,82,99,84,41,638,202,151,76,295,216,179,48,173,94,65,24,265,229,202,72,251,154,109,35,268,196,175,183,74,
非流动资产处置损失(万元),--,--,--,--,48,39,40,558,0,147,72,292,216,179,48,171,93,64,24,253,217,201,72,248,--,0,--,249,178,165,183,73,
利润总额(万元),7211,2263,-543,1108,636,253,-633,-18672,-7500,-4188,-2143,-4685,-1834,-1361,-878,392,749,478,14,1093,836,476,-185,1934,1247,632,10,2732,2232,2244,1044,524,
所得税费用(万元),2237,864,22,467,272,236,14,-330,40,30,3,65,73,42,33,181,62,8,4,78,11,14,4,26,1,1,--,30,6,0,2,13,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),4974,1399,-565,641,363,17,-647,-18342,-7541,-4218,-2145,-4750,-1907,-1403,-912,211,687,470,10,1016,825,462,-188,1908,1246,630,10,2703,2226,2244,1042,511,
归属于母公司所有者的净利润(万元),4756,1363,-530,744,375,168,-488,-13963,-5782,-2993,-1635,-3566,-1422,-1013,-810,179,625,463,7,962,815,448,-192,1906,1252,630,10,2703,2226,2244,1042,511,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,470,--,--,--,--,--,--,--,630,--,--,--,--,--,--,
少数股东损益(万元),218,36,-34,-104,-12,-151,-159,-4379,-1759,-1226,-511,-1184,-485,-390,-102,32,62,7,2,54,10,13,4,2,-6,--,--,--,0,0,0,0,
基本每股收益,0.18,0.06,-0.03,0.04,0.02,0.01,-0.02,-0.72,-0.29,-0.15,-0.09,-0.2,-0.08,-0.06,-0.09,0.02,0.07,0.05,0,0.11,0.09,0.05,-0.02,0.23,0.16,0.08,0,0.4,0.33,0.33,0.19,0.14,
稀释每股收益,0.18,0.06,-0.03,0.04,0.02,0.01,-0.02,-0.72,-0.29,-0.15,-0.09,-0.2,-0.08,-0.06,-0.09,0.02,0.07,0.05,0,0.11,0.09,0.05,-0.02,0.23,0.16,0.08,--,0.4,0.33,0.33,0.19,0.14,
