报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),27738,19488,9372,37968,25350,19122,10684,42165,29619,20142,9711,40472,29355,20440,9476,40207,25529,16288,6899,29135,20247,13861,6159,23496,18010,12523,4478,22340,15772,11126,18967,15810,10267,
营业收入(万元),27738,19488,9372,37968,25350,19122,10684,42165,29619,20142,9711,40472,29355,20440,9476,40207,25529,16288,6899,29135,20247,13861,6159,23496,18010,12523,4478,22340,15772,11126,18967,15810,10267,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),28623,19986,8947,30233,17109,13406,8617,35331,26005,17980,8823,36780,26791,18449,8717,36234,22620,14002,6157,25738,17261,11645,5492,19710,15136,10434,4063,18178,12902,8972,15014,12125,8401,
营业成本(万元),18943,13021,6367,25456,16856,12617,6896,28077,19888,13790,6938,29863,21654,15201,7066,29825,18330,11540,4963,20922,13786,9423,4255,15839,12044,8418,3125,14777,10473,7417,12405,9878,6828,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),4879,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),461,295,133,916,762,616,497,552,206,135,46,160,106,79,32,190,80,55,14,153,86,69,15,131,108,80,26,95,60,20,105,100,75,
销售费用(万元),1817,1157,585,2161,1141,935,397,2194,1596,1180,447,1911,1228,897,362,1583,960,596,267,1308,794,516,241,861,603,399,174,697,518,353,728,630,389,
管理费用(万元),10024,10529,4397,12282,5453,2940,1744,4188,4307,2710,1442,4382,3633,2213,1199,4240,3054,1693,864,3398,2643,1653,956,3056,2408,1564,772,2235,1589,1018,1783,1306,966,
财务费用(万元),-7274,-4859,-2328,-10938,-6950,-3693,-836,177,140,87,36,387,307,216,104,183,178,105,80,-95,12,-3,37,-310,-76,-90,-25,148,130,60,60,77,142,
资产减值损失(万元),-228,-157,-206,356,-153,-10,-81,143,-131,78,-85,77,-137,-157,-47,213,17,12,-26,52,-59,-13,-11,134,49,63,-9,227,132,103,-67,135,1,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),847,733,668,1991,774,667,151,626,490,362,127,544,434,257,144,278,186,28,--,--,--,--,--,--,--,--,--,--,--,--,88,74,15,
对联营企业和合营企业的投资收益(万元),--,--,--,268,268,268,151,626,490,362,127,544,--,--,144,278,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
