报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
营业总收入(万元),115309,454636,347716,219127,94641,400103,294691,170824,81066,329999,263056,170422,75436,346407,264774,169476,78984,291289,216735,132276,65552,258335,199040,129552,233127,200845,136092,
营业收入(万元),115309,454636,347716,219127,94641,400103,294691,170824,81066,329999,263056,170422,75436,346407,264774,169476,78984,291289,216735,132276,65552,258335,199040,129552,233127,200845,136092,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),115340,455251,350662,222279,96691,401099,293720,172054,83261,321338,256458,165590,73930,332735,253912,162638,76818,276248,205224,125465,62337,245131,186922,121582,220137,191450,132978,
营业成本(万元),103877,411991,312764,197959,84374,352561,260384,150094,71877,274171,217734,142262,61420,281747,216279,140351,67259,236345,176077,108584,54605,209988,163049,107179,191368,167474,119001,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),493,1876,1505,873,318,1950,892,600,314,1174,1168,782,289,942,819,412,194,461,332,249,171,581,441,180,813,510,278,
销售费用(万元),5393,17009,14597,9896,4767,18094,12760,7998,4532,15645,15081,9375,5526,20933,17138,9472,3742,15734,10670,6172,2972,11347,8577,5379,10136,10498,6321,
管理费用(万元),3338,12992,13316,8256,4491,18451,13106,8980,4768,17664,13100,7535,3910,18128,11766,7071,2960,15687,12607,6770,3327,14816,9218,5115,12799,9860,4835,
财务费用(万元),2857,10890,8550,5401,2652,8828,6315,4079,2216,11703,9137,5618,2789,9732,7444,4956,2383,7587,5385,3609,1495,7220,5583,3537,4893,2594,2091,
资产减值损失(万元),-617,494,-70,-106,89,1214,264,304,-446,980,239,17,-5,1253,466,376,280,435,153,80,-233,1181,54,193,128,514,451,
公允价值变动收益(万元),--,0,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),0,947,830,727,228,773,600,371,179,226,20,--,--,--,--,--,--,--,--,--,--,--,19,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,54,--,--,0,-30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),136,538,-1978,-2332,-1823,-222,1571,-859,-2016,8888,6618,4832,1507,13671,10862,6838,2166,15041,11510,6811,3215,13204,12137,7970,12990,9395,3114,
营业外收入(万元),119,1947,1297,1057,394,2220,1063,614,388,3055,2273,2126,1542,2260,857,374,122,1277,623,473,269,1369,605,361,1164,749,753,
营业外支出(万元),11,33,107,70,59,341,168,66,33,137,37,24,4,145,64,5,4,51,22,20,20,78,52,78,9,87,7,
非流动资产处置损失(万元),--,--,1,0,0,7,5,2,--,15,13,13,--,93,34,2,1,3,1,0,--,55,--,42,4,2,3,
利润总额(万元),244,2453,-788,-1345,-1488,1657,2466,-311,-1662,11806,8854,6935,3046,15787,11655,7207,2284,16267,12111,7264,3464,14495,12690,8252,14145,10057,3861,
所得税费用(万元),269,781,720,855,353,455,1090,774,360,3082,2329,1655,733,2631,2068,1369,744,3080,2202,1196,630,2805,2678,1759,1231,1494,1213,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),-25,1672,-1508,-2200,-1841,1202,1376,-1084,-2022,8724,6525,5279,2312,13156,9587,5838,1540,13187,9909,6068,2833,11690,10012,6494,12914,8563,2648,
归属于母公司所有者的净利润(万元),-263,663,-1995,-2350,-2006,989,1249,-958,-1728,8735,6317,5151,2251,12862,9359,5748,1652,12761,9487,5886,2807,10730,8769,5601,11156,7075,1766,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,60,--,--,
少数股东损益(万元),238,1008,487,150,165,214,127,-126,-294,-11,208,128,62,294,228,90,-112,426,422,182,26,960,1243,893,1758,1488,881,
基本每股收益,0,0.01,-0.02,-0.03,-0.02,0.01,0.01,-0.01,-0.02,0.12,0.08,0.08,--,0.21,--,0.09,--,0.2,--,0.09,--,0.17,--,0.09,0.22,0.14,--,
稀释每股收益,0,0.01,-0.02,-0.03,-0.02,0.01,0.01,-0.01,-0.02,0.12,0.08,0.08,--,0.21,--,0.09,--,0.2,--,0.09,--,0.17,--,0.09,0.22,0.14,--,
