报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),38216,140438,105740,73422,34104,109827,79439,56447,21833,74959,58978,40885,16709,76353,64655,50717,22931,200019,178855,116587,43927,211884,163394,130111,76329,332313,194701,227970,84692,30153,
营业收入(万元),38216,140438,105740,73422,34104,109827,79439,56447,21833,74959,58978,40885,16709,76353,64655,50717,22931,200019,178855,116587,43927,211884,163394,130111,76329,332313,194701,227970,84692,30153,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),34584,128458,92957,63252,27014,103200,71005,47750,19353,73093,54186,38591,16223,116849,82958,61173,22255,162336,134074,89151,32162,169566,126874,99998,55317,230874,128463,164579,70217,26917,
营业成本(万元),25374,84108,63434,44255,19873,63036,48558,34179,12861,44948,36099,24758,10617,48684,39515,31922,13367,118640,102450,70248,26433,129889,98505,78139,45654,186305,105964,137103,59681,22312,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),32,1823,781,682,118,924,397,235,95,511,434,265,15,662,483,374,139,1312,1209,727,424,1692,1486,1203,566,2408,1256,355,141,51,
销售费用(万元),3854,13932,10036,6830,3182,13586,9229,6423,3008,10186,8126,4615,2066,10123,8209,6312,2697,17692,13868,8755,3390,19844,13369,10831,3395,18363,10327,11657,3782,963,
管理费用(万元),5107,22331,15144,10017,4421,15862,10479,6732,3098,12302,9242,5311,2862,14068,11703,8135,3584,15035,11345,6406,2542,19072,17133,12003,5457,20267,9441,14430,5773,2497,
财务费用(万元),346,1466,1019,490,131,-4883,-3715,-2766,-65,-5728,-4983,-2978,-1524,-4256,-3468,-2445,-1150,-6311,-5287,-3170,-1550,-6318,-4644,-2661,331,2576,687,307,-8,307,
资产减值损失(万元),-128,4797,2542,979,-711,14676,6057,2946,357,10874,5268,6619,2188,47568,26516,16875,3618,15967,10489,6186,922,5386,1024,484,-86,954,788,727,849,788,
公允价值变动收益(万元),--,--,--,--,--,-183,-183,-183,--,102,-81,-81,-81,-121,-152,-103,--,202,--,--,--,--,0,--,--,--,--,-1,1,--,
投资收益(万元),4314,5776,2358,2022,30,3222,2680,1981,1387,223,211,225,300,199,-93,-53,-5,548,159,64,24,519,468,312,222,1518,894,1463,1146,240,
对联营企业和合营企业的投资收益(万元),-17,36,9,-16,-25,--,-47,-27,-38,-140,-70,-70,-22,-56,-104,-71,-26,-8,19,--,--,-73,-28,-60,--,--,-13,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),8006,25131,15140,12192,7120,9667,10931,10495,3867,2191,4923,2439,705,-40418,-18548,-10612,671,38433,44940,27499,11789,42837,36987,30424,21234,102958,67132,64853,15622,3476,
营业外收入(万元),289,385,7561,7098,213,2911,2207,1632,1245,3574,3125,2748,1492,2295,2094,1124,676,2490,1670,572,503,10670,10065,9118,7140,7714,446,1327,319,203,
营业外支出(万元),48,148,154,74,-21,-716,-670,-546,-5,-5475,-4655,-3819,-2500,-6206,-5084,-6625,-3982,5231,604,1561,1159,8196,1687,1941,161,2015,1117,1030,379,64,
非流动资产处置损失(万元),--,--,103,89,--,--,42,42,--,3,24,24,--,238,4,6,-10,2,41,--,--,205,--,201,--,11,--,--,--,--,
利润总额(万元),8247,25367,22547,19217,7354,13293,13808,12673,5118,11240,12703,9005,4697,-31917,-11370,-2862,5329,35693,46006,26510,11133,45310,45364,37602,28212,108657,66460,65150,15563,3614,
所得税费用(万元),706,1911,2367,2121,530,1315,1910,1635,582,1186,1109,612,900,2922,4501,4315,1399,7805,9072,6169,2571,7388,6653,5576,4131,16877,15268,9918,2133,242,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),7541,23457,20180,17096,6824,11978,11898,11038,4535,10054,11594,8393,3797,-34840,-15871,-7178,3930,27888,36934,20341,8561,37922,38711,32025,24082,91781,51193,55232,13430,3371,
归属于母公司所有者的净利润(万元),7769,23872,20370,17303,6950,12421,12190,11214,4597,10268,11770,8441,3807,-34813,-15863,-7176,3930,27887,36934,20343,8564,37926,38716,32033,24082,91833,51222,55245,13430,3371,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,1788,3865,2376,
少数股东损益(万元),-228,-415,-190,-207,-126,-444,-292,-176,-62,-215,-175,-48,-9,-26,-8,-2,0,1,0,-2,-3,-4,-5,-8,--,-52,-29,-13,--,--,
