报告日期,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),70436,44386,79969,57453,58446,43595,49886,
营业收入(万元),70436,44386,79969,57453,58446,43595,49886,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),65687,41743,73464,52685,51723,38612,47207,
营业成本(万元),58171,36923,64022,45910,44897,32364,41752,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),397,220,471,308,264,335,414,
销售费用(万元),1137,758,1874,1401,1416,1194,634,
管理费用(万元),5348,3400,6699,4831,4982,4093,3851,
财务费用(万元),534,338,194,146,-206,321,343,
资产减值损失(万元),100,105,204,89,370,304,213,
公允价值变动收益(万元),16,16,-17,--,--,--,--,
投资收益(万元),-17,-17,-131,-72,-7,21,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),5145,2643,6357,4696,6716,5004,2679,
营业外收入(万元),422,470,704,669,518,121,22,
营业外支出(万元),5,2,25,18,12,143,6,
非流动资产处置损失(万元),1,1,7,--,5,--,--,
利润总额(万元),5562,3111,7036,5347,7222,4982,2695,
所得税费用(万元),663,315,992,900,1006,657,367,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),4899,2796,6044,4447,6215,4325,2328,
归属于母公司所有者的净利润(万元),4899,2796,6044,4447,6215,4335,2338,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,-10,-10,
基本每股收益,0.31,0.18,0.4,0.29,0.41,--,--,
稀释每股收益,0.31,0.18,0.4,0.29,0.41,--,--,
