报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,2004-12-31,
营业总收入(万元),12443800,31980900,25895700,17755600,10840200,26701400,21327300,14470600,8344300,24720200,19330100,13451400,7376200,21977800,16566600,11414500,6372000,19313700,14962800,10406800,5316500,17145100,13206200,9229500,4949000,15793400,12237400,8723800,4765700,14166200,10515700,7263100,4039700,10431300,8139800,5422500,2816600,9783500,8233500,6345600,3353200,9300800,6820000,4520400,2109800,5752600,5192400,4394400,
营业收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
已赚保费(万元),11198500,26355400,21836000,15155600,9469400,21957300,17759900,12211700,7236000,18937600,14930700,10206200,5742700,17289100,13520200,9562800,5545600,15962500,12514900,8774500,4586500,14783900,11456500,8090300,4457000,13723800,10647400,7512200,4205400,11975100,9156400,6318700,3488600,8412700,6633300,4503900,2466800,8427400,6801100,4756900,2691900,6553600,4609400,3136100,1653700,4796400,4558000,4078800,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
其他业务收入(万元),65000,281400,198800,133200,60800,246200,173600,115300,54900,211300,143100,94700,41800,172500,117800,74100,39300,149900,98400,67700,27900,115000,81900,53900,26600,107500,67600,47000,19400,85100,62600,43400,21100,67100,26000,18000,9400,42700,32300,25200,11000,48000,31800,14800,15300,19900,8600,6400,
营业总成本(万元),11823000,29878600,24327300,16795600,10555200,25094200,20045200,13580400,8025200,22302200,17257600,11894500,6674300,20535600,15382300,10503100,5929500,18126900,13924500,9718000,5006500,16540700,12812100,8883400,4859800,14829200,11425700,7971700,4339500,13097200,9910900,6755100,3681600,9477200,7602600,5117200,2789500,9858400,7929400,5820200,3142100,8451200,6099900,4051900,1893800,5552200,5041500,4554300,
营业成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,53200,0,0,0,0,0,0,0,0,--,--,
手续费及佣金支出(万元),1722700,4728100,3794300,2822600,1729300,3516600,2761300,1888200,1074100,2496900,1959300,1328900,754100,1972500,1558100,1096600,617100,1665200,1292000,917200,494900,1479900,1146900,811000,453900,1322600,1033900,720200,372300,1119800,849400,580800,310200,882000,705300,475700,253200,725800,562100,381300,192700,561500,401200,261200,117700,369300,334200,359200,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,--,--,
