报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),61104,37315,37834,16624,96385,21650,20305,17421,14465,8909,7041,7256,8272,8669,6011,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1105,618,931,691,616,300,610,404,404,450,195,202,8,--,20,
应收账款(万元),65688,63979,56623,51424,49962,47084,38596,36323,31825,24041,22886,23673,20549,16870,13817,
预付款项(万元),496,72,148,417,1214,673,314,278,171,133,24,2817,253,1153,1183,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),207,425,309,109,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5340,1759,1163,1181,951,1317,1177,1094,587,612,1271,1021,1256,1672,1184,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),28228,27324,25557,24276,19962,14835,13285,13167,10832,10228,7759,9503,6426,6669,3134,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),450,355,346,56,303,161,121,61,33,70,52,144,33,11,200,
其他流动资产(万元),11393,28248,35388,49207,5295,4784,3646,3727,3508,3307,2752,--,1785,--,--,
流动资产合计(万元),174012,160097,158298,143984,174687,90803,78054,72475,61826,47751,41980,44616,38583,35044,25550,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,204107,--,183351,--,140717,137803,114342,--,--,--,51324,--,--,--,
累计折旧(万元),--,45404,--,39440,--,35685,34678,33167,--,--,--,14718,--,--,--,
固定资产净值(万元),--,158703,--,143911,--,105031,103125,81175,--,--,--,36606,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),164355,158703,150711,143911,123270,105031,103125,81175,74143,71886,35995,36606,37134,24551,17589,
在建工程(万元),31645,23432,28661,22981,25992,24519,16691,27522,4525,3653,23750,11723,10841,4328,3759,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),16708,16883,16846,6614,6467,6104,6035,6183,6699,5291,5288,5117,5219,4578,5,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),9888,9577,9131,8899,7335,6235,5119,5108,3859,3767,4512,4807,5252,4505,432,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),908,906,636,679,1000,661,604,557,642,486,416,445,243,220,207,
其他非流动资产(万元),5988,3371,2137,13276,2729,5591,5039,4875,3073,1329,3323,--,438,--,--,
非流动资产合计(万元),229492,212871,208123,196360,166793,148141,136613,125420,92941,86413,73284,58699,59128,38181,21992,
资产总计(万元),403504,372968,366421,340344,341480,238944,214668,197895,154766,134164,115264,103315,97711,73226,47541,
短期借款(万元),54733,41758,29096,13754,27804,30202,28862,25772,12146,22049,16779,21100,22000,12245,6976,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),12926,12618,10543,11446,12403,11095,11490,8966,5677,1941,1973,712,433,550,--,
应付账款(万元),73739,67911,67398,64088,58786,47361,41705,35901,27990,30275,21647,17703,17019,16650,12140,
预收账款(万元),376,646,446,194,425,200,146,178,176,194,240,153,155,121,73,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),5054,4445,3593,6870,5007,3871,3257,4681,4052,1825,1616,1908,1226,1902,1361,
应交税费(万元),2888,3187,3333,1641,2344,2341,2032,1319,1683,1121,604,421,743,-713,13,
应付利息(万元),88,77,50,19,1,23,30,19,18,--,--,--,--,--,--,
应付股利(万元),--,--,18450,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3998,3738,3826,3496,3515,2558,2314,2292,1607,1637,894,822,779,597,451,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),3937,4250,6000,4000,500,3100,2414,1100,9750,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),157738,138631,142735,105509,110785,100751,92250,80229,63098,59043,43753,42820,42354,31354,21013,
长期借款(万元),18630,19317,19317,22317,26960,19569,13567,12113,3902,11877,16467,13201,10612,5300,3857,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,1549,--,
