报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),8820,12725,10116,10639,18858,13665,9602,9404,10750,8806,10288,14934,17188,18041,15200,24908,31228,4017,2034,3992,3047,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),12200,11088,11809,12675,4993,5137,5284,3047,3371,6613,5466,6647,6133,6854,12270,14704,9120,11091,8174,8279,9284,
应收账款(万元),56456,51363,49762,49781,46890,47930,43225,50873,50138,46304,43196,46135,45308,39297,32330,33323,39790,34299,37369,34329,26417,
预付款项(万元),3624,4126,5735,2876,2188,1584,1907,1125,1889,1476,779,568,1736,1270,1265,545,777,759,395,362,1887,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他应收款(万元),703,2377,1875,2712,2404,2152,2587,2443,2763,1828,1879,1853,1500,4359,838,1028,1033,1307,1210,1024,768,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
存货(万元),17249,18172,15790,15401,17957,16545,14114,13662,12293,10532,13102,13505,16168,13935,15154,13827,11499,11497,14134,15385,15380,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
其他流动资产(万元),10,269,25,1230,56,1131,1686,1480,11,9,5,4,66,156,117,120,21,65,96,--,--,
流动资产合计(万元),99062,100120,95113,95314,93346,88143,78406,82034,81216,75567,74715,83646,88100,83910,77175,88454,93468,63034,63412,63371,56784,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,
