报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),100815,219598,112052,103480,111088,159473,106415,104630,114878,103392,102740,110251,104450,105628,97230,127085,53295,52043,38605,38653,37857,21662,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1239,1144,1703,653,503,55,61,476,461,439,268,642,73,656,1865,1306,830,1639,411,164,18,179,
应收账款(万元),88314,59718,67764,64888,61065,40418,49439,44388,54092,32514,38604,40213,39467,24538,34027,30536,32820,21835,16643,10306,8841,8539,
预付款项(万元),47854,37279,75048,62320,49394,48970,40046,34495,32397,43358,32051,32411,25501,24000,23942,23432,20368,19637,13947,12296,9699,5947,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收利息(万元),496,--,--,--,--,22,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他应收款(万元),16904,17943,16259,15687,20914,20546,12428,11962,12210,14433,10146,12304,7919,8421,8260,5425,6298,6547,4745,3812,3548,2435,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
存货(万元),170799,162631,163648,148567,143324,137342,123750,111164,107758,102429,105676,84869,81244,76643,73581,66899,60389,60802,44873,40112,31695,21261,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动资产(万元),78730,1308,204,191,19500,32511,7500,7500,--,4800,--,--,--,--,0,--,--,--,--,--,--,--,
流动资产合计(万元),505151,499620,436678,395786,405787,439339,339639,314614,321796,301364,289485,280691,258653,239886,238905,254684,174001,162502,119226,105344,91657,60023,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期股权投资(万元),1179,1200,--,--,--,--,--,--,--,--,387,368,343,390,376,361,331,340,291,271,267,248,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,78362,--,75908,--,71835,--,67041,--,65355,--,53348,--,48388,--,45361,43565,41850,22873,20766,--,--,
累计折旧(万元),--,28180,--,25644,--,23108,--,20613,--,18005,--,15850,--,13380,--,11880,11222,10564,8641,6858,--,--,
固定资产净值(万元),--,50182,--,50264,--,48728,--,46428,--,47350,--,37498,--,35008,--,33482,32343,31286,14232,13908,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),49501,50182,51356,50264,49081,48728,46425,46428,47067,47350,38525,37498,35959,35008,34156,33482,32343,31286,14232,13908,4387,4556,
在建工程(万元),1215,749,959,904,678,1015,1454,1221,986,59,7995,7560,7524,6197,5605,5208,4819,3244,12950,7096,10680,827,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
无形资产(万元),8067,8265,8087,8285,8334,8811,8617,8726,8679,6200,3493,3310,2945,2935,2923,1683,1684,1467,1546,1633,1311,1482,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
商誉(万元),105771,105771,82749,79701,79605,79605,63508,63492,57265,49696,51335,31638,713,154,0,--,--,--,--,--,--,--,
长期待摊费用(万元),41105,43363,24191,19743,18137,17645,12423,11415,10441,9679,9500,8293,8023,6549,6272,5840,6025,5910,2834,1994,1919,1278,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),4837,4502,5488,5030,4860,4976,5497,4946,4486,4278,4680,4055,3564,3025,3772,3228,3002,2536,1357,585,247,126,
其他非流动资产(万元),1007,1007,--,--,7,1204,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
非流动资产合计(万元),212682,215040,172830,163927,160702,161983,137924,136228,128923,117262,115915,92722,59071,54258,53103,49802,48204,44782,33210,25488,18812,8517,
资产总计(万元),717833,714660,609508,559713,566489,601322,477563,450842,450719,418626,405400,373414,317724,294144,292008,304485,222204,207285,152436,130831,110468,68540,
短期借款(万元),--,10000,10000,67,68,68,66,540,--,62500,42800,33300,15000,--,0,22000,26000,22000,15600,19526,18024,11080,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),63660,75816,54254,53512,58049,63234,47923,45590,39773,50393,63527,53667,30943,35996,26232,28503,29609,36429,28425,27653,12593,7186,
应付账款(万元),112476,94149,116520,96624,93436,88140,86349,74264,76646,56172,66909,55132,41693,36269,51082,45387,42197,31580,20913,17288,24797,16580,
预收账款(万元),734,616,597,377,757,552,435,258,265,440,268,630,1008,818,771,737,1527,825,449,162,57,54,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付职工薪酬(万元),4638,6472,2357,2350,2199,3327,2427,1885,2056,3026,2441,2283,2468,4855,4468,3814,2143,3786,2383,613,705,547,
应交税费(万元),11005,14606,3952,2805,3843,2200,3628,2180,5214,5199,3921,3603,3252,2742,2531,3075,3785,2868,1455,893,2786,2397,
应付利息(万元),1872,2240,2386,2721,1387,3131,2030,1243,476,78,61,49,--,--,0,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,15618,--,0,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),19514,20452,27769,19534,26618,30484,11269,10311,7686,12880,7044,14058,5400,4892,4341,5091,3866,4464,1915,1291,1234,3735,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),3,4,4,4,4,4,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他流动负债(万元),39932,39895,39836,39979,39979,79941,40000,40000,40000,--,--,--,--,--,0,--,--,--,--,--,--,--,
流动负债合计(万元),253834,264250,257674,217973,226339,271081,194125,176271,172115,190689,186970,162721,115382,85574,89425,108608,109128,101952,71139,67425,60196,41579,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,326,--,--,
应付债券(万元),79707,79648,79594,79535,79476,79419,39707,39678,40000,--,--,--,--,--,0,--,--,--,--,--,--,--,
长期应付款(万元),5,5,6,8,9,10,--,--,--,--,--,--,--,--,0,--,--,--,--,--,329,684,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),1449,1363,1275,1203,1135,1000,872,838,729,638,639,640,630,298,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,299,320,320,320,220,200,200,--,
非流动负债合计(万元),81161,81016,80875,80746,80620,80429,40580,40516,40729,638,639,640,630,298,299,320,320,320,220,526,529,684,
负债合计(万元),334995,345266,338549,298719,306959,351509,234705,216787,212845,191327,187609,163361,116012,85871,89724,108928,109448,102272,71359,67951,60725,42262,
实收资本(或股本)(万元),56777,56777,52060,52060,52060,52060,52060,52060,26030,26030,26030,26030,26030,26030,26030,26030,19520,19520,19520,19520,19520,17568,
资本公积(万元),140971,140971,57748,57748,57748,57748,57747,57747,83777,83777,83777,83777,83777,83777,84863,84863,16468,16468,16468,16468,16504,2649,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
盈余公积(万元),15470,15470,12517,12517,12517,12517,11361,11361,10721,10046,9413,8983,8519,7825,7311,6870,6531,5964,4138,2683,1596,674,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),169303,156172,148450,138468,136991,127265,121505,112750,117346,107445,98571,91262,83387,90640,83962,77619,70013,62770,40511,23711,11327,4931,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),382508,369394,270794,260823,259358,249637,242672,233917,237874,227298,217791,210052,201713,208272,202165,195382,112531,104722,80637,62382,48947,25822,
少数股东权益(万元),330,--,164,171,172,176,186,138,--,--,--,--,--,--,119,175,225,291,440,498,796,456,
所有者权益(或股东权益)合计(万元),382838,369394,270958,260994,259530,249813,242858,234056,237874,227298,217791,210052,201713,208272,202284,195557,112757,105013,81077,62880,49743,26278,
负债和所有者权益(或股东权益)总计(万元),717833,714660,609508,559713,566489,601322,477563,450842,450719,418626,405400,373414,317724,294144,292008,304485,222204,207285,152436,130831,110468,68540,		
  
