报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),6768,5306,9568,5119,2672,4979,1913,2725,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),2692,1939,3168,5032,1688,3562,3743,1285,
应收账款(万元),26422,23724,16246,14831,16045,10692,8827,6511,
预付款项(万元),667,399,324,204,201,234,140,59,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),886,561,292,276,427,71,929,788,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),9070,8123,6706,5517,5910,7259,3945,3423,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),42300,68,1526,91,10,244,297,615,
流动资产合计(万元),88805,40120,37830,31069,26952,27040,19795,15406,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,965,1014,1038,1065,--,--,
固定资产原值(万元),--,20286,18909,16045,--,--,--,--,
累计折旧(万元),--,5618,4918,4356,--,--,--,--,
固定资产净值(万元),--,14668,13991,11689,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),14880,14668,13991,11689,11671,11352,11223,10347,
在建工程(万元),677,555,206,--,95,3,28,836,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),2717,2400,1554,1471,859,869,517,530,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),248,241,171,229,237,172,180,119,
其他非流动资产(万元),559,769,767,1234,712,674,788,601,
非流动资产合计(万元),19083,18633,17654,15637,14611,14135,12735,12433,
资产总计(万元),107887,58753,55484,46707,41564,41175,32530,27838,
