报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),390426,424979,265316,262291,286960,370135,307544,291331,288220,321066,256028,262417,355568,249467,103896,147029,172421,249179,87751,94512,120960,164488,63600,87915,161494,200354,91784,106919,100173,131960,81836,77371,97558,99900,65358,66685,91267,108605,51260,59926,70007,97407,43067,54470,60036,78446,51476,9529,14503,10999,7176,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,--,
应收票据(万元),3917,4188,3007,1599,1469,1263,757,929,2545,2080,2209,1810,1840,806,1605,245,1560,2312,1921,3006,981,--,672,815,218,199,499,--,1018,470,51,500,--,--,--,0,190,68,--,0,--,522,--,--,--,0,0,--,0,0,0,
应收账款(万元),134644,131155,130385,135734,105057,80026,75470,79869,76799,75692,80105,76765,72687,79370,72219,65355,61310,60107,60888,66884,73395,71389,81571,73567,70519,64426,93440,79811,86781,83296,90070,106209,86407,97949,92742,92370,57476,40928,59089,44878,36651,34750,38750,23129,30788,28424,29442,22144,25523,14681,7353,
预付款项(万元),11643,6851,4352,8372,7712,1677,2670,3387,2382,2356,3630,3989,3293,2527,7445,7711,2673,3200,12084,12055,12725,12998,4633,4348,4836,4945,3316,1233,685,2191,2221,1368,1143,2328,2546,1877,766,1247,830,2019,273,831,393,365,682,612,369,259,163,74,68,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,64,23,19,52,19,201,146,93,36,38,149,141,83,--,--,11,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,29835,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
其他应收款(万元),--,10969,12661,11477,11074,9555,10897,16136,9833,8649,9493,8960,8753,7253,8357,6961,8089,7213,6849,5081,5724,5026,4548,4244,3854,3195,4374,3289,2630,2610,3526,2689,2095,2020,2553,2143,1476,1174,1703,1922,1303,1600,1922,1758,1704,1513,2630,1770,666,274,174,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
存货(万元),186172,186496,224286,213081,201582,193495,246775,226205,202023,192665,230073,216445,213617,214350,267616,234292,200204,178554,199132,168097,142968,117084,119200,94109,83095,76959,82353,67317,65360,64860,66445,53909,46525,39906,39855,32391,35762,42103,51489,49047,50353,51262,45282,42972,42842,41207,30272,21293,13412,7477,8805,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
其他流动资产(万元),142355,164919,200654,193342,237654,240760,206836,227426,259117,212263,122488,207248,158827,85771,72966,55700,100740,84341,81240,72100,66070,74660,78400,50000,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,11,7,37,24,21,7,9,0,0,
流动资产合计(万元),881648,935050,840662,825897,851508,896911,850948,845348,840941,814790,704075,777652,844619,639690,534196,517329,547034,585055,450006,421819,422824,445644,352636,314998,324017,350079,275765,258569,256647,285386,244148,242045,233728,242103,203054,195466,186938,194124,164371,157792,158586,186372,129425,122701,136089,150227,114210,55002,54276,33505,23576,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
可供出售金融资产(万元),--,90657,104326,102681,89382,113353,96280,106846,170123,203572,198511,87983,66760,536,988,969,471,480,535,580,569,543,571,564,654,656,662,447,792,906,852,963,1471,1582,--,0,--,0,--,0,0,0,0,--,--,0,0,--,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
长期股权投资(万元),60647,62646,66948,66232,68700,68677,67863,67232,16705,10178,6627,6588,6707,6594,6629,7016,6809,6587,6816,6962,6654,6471,6439,22085,16254,16408,16595,16264,16480,16746,--,--,--,--,369,0,--,0,--,0,--,--,--,--,--,0,0,0,0,993,956,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,--,
投资性房地产(万元),5537,5289,4459,3955,4491,5098,4816,4851,5064,4232,4270,4725,4759,3631,3656,3682,3356,3380,3337,3362,3384,3340,1109,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,0,--,0,0,0,
固定资产原值(万元),--,180056,--,162372,--,155802,--,148843,--,120483,--,100717,--,84262,--,74396,--,71607,--,56698,--,52638,--,41921,--,40241,--,40257,--,39650,--,38617,--,37674,--,28541,--,26814,--,21014,--,20018,--,10642,--,9403,--,--,6811,0,--,
累计折旧(万元),--,70412,--,64810,--,58670,--,52913,--,45491,--,36306,--,26313,--,19368,--,17236,--,16233,--,13716,--,12868,--,11198,--,11168,--,9827,--,8850,--,7525,--,6326,--,5391,--,4743,--,3825,--,3313,--,2610,--,--,1766,0,--,
固定资产净值(万元),--,109644,--,97562,--,97132,--,95931,--,74991,--,64411,--,57949,--,55029,--,54371,--,40465,--,38921,--,29053,--,29044,--,29089,--,29823,--,29767,--,30149,--,22215,--,21423,--,16272,--,16193,--,7329,--,6793,--,--,5045,0,--,
固定资产减值准备(万元),--,739,--,514,--,500,--,499,--,487,--,143,--,143,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,0,0,--,
固定资产(万元),--,108905,103756,97048,97603,96632,97561,95432,79922,74504,67347,64268,63778,57806,55010,55029,54200,54371,40904,40465,38984,38921,37573,29053,29096,29044,28617,29089,29423,29823,29918,29767,29758,30149,22042,22215,21768,21423,15916,16272,16383,16193,7376,7329,6844,6793,5219,5169,5045,793,718,
