报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1228114,1059673,958089,1117531,1157818,1369480,1305057,1268133,218763,106158,99248,138292,115943,125539,157776,183432,189236,236386,179716,203710,202653,272277,185500,152612,188750,231583,225269,202922,205509,206264,178820,153047,160456,175209,166933,140347,146572,143111,125856,124966,127854,120775,110726,91926,102804,91786,
结算备付金(万元),118680,126025,116009,119690,125448,160543,157004,134654,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),888765,776754,587329,629834,642602,385358,566993,682737,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
衍生金融资产(万元),8423,7432,9213,11010,9764,7593,20,101,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收账款(万元),18248,16315,16083,11623,17141,23328,15055,13820,73,26,35,57,82,68,78,225,131,124,99,201,62,120,62,38,55,154,85,40,46,55,57,14,315,540,293,302,258,409,240,653,320,330,290,23,28,1741,
预付款项(万元),--,--,3536,2964,2665,2357,3409,4383,1276,1993,3080,2627,2085,1155,4916,4120,3808,1777,1848,2205,2089,902,3614,1710,1781,1652,3097,2308,1291,3030,2310,1887,1494,2990,3249,3429,4674,6566,6587,658,748,1872,1811,799,1217,1593,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),84820,77063,74140,66050,76347,61501,53986,46774,673,1693,1323,887,831,1124,2466,1469,1533,1470,2718,1753,2091,1139,1210,1327,1138,1142,54,54,617,1181,6,60,494,569,--,0,--,--,--,--,--,0,--,--,--,0,
应收股利(万元),--,--,--,2568,2568,--,--,2554,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他应收款(万元),--,--,20809,21519,20858,19614,21390,18397,6940,6451,6370,5606,6533,5955,5753,4499,5007,4640,4301,5006,7475,4638,4694,4385,4692,4420,4626,4390,4299,4201,3723,3403,3443,1518,862,852,899,739,1068,1411,1633,1140,2246,2036,1929,1063,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收保证金(万元),111799,86426,76849,66879,84986,81099,76381,99649,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
买入返售金融资产(万元),786177,934126,1242955,1235240,1134950,999396,760185,717558,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
存货(万元),--,--,9645,9147,9057,8084,8943,9357,9492,10618,12711,12497,13845,13643,16670,16439,17855,18432,18704,17859,18925,20347,20341,17567,19142,18105,17852,16066,16493,15941,13494,11810,11582,12113,11951,10458,10744,11185,11794,10257,10931,9446,10255,7649,7607,7308,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动资产(万元),--,--,762166,679356,672322,543181,528203,566634,--,--,--,--,--,--,--,--,--,--,--,--,5724,--,1908,3816,5724,--,1908,3816,5724,--,1908,3816,5724,0,--,0,--,--,--,--,--,0,--,--,--,0,
其他流动资产(万元),--,--,250289,221819,231972,165749,165824,131630,118843,130843,114800,74000,115000,120078,79000,64965,64965,35000,64988,64988,80000,15000,75000,80000,60000,30000,--,--,--,--,--,0,--,0,--,0,--,--,141,282,422,563,--,--,--,15,
流动资产合计(万元),--,--,4492185,4505503,4512658,4155610,3987302,4005056,356060,257781,237566,233966,254319,267562,266661,275149,282535,297828,272374,295721,319019,314425,292328,261456,281283,287056,252892,229597,233980,230672,200317,174037,183509,192939,183288,155388,163147,162009,145686,138226,141907,134126,125328,102433,113585,103506,
发放贷款及垫款(万元),--,--,--,--,--,--,--,38709,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
可供出售金融资产(万元),1101909,1101703,1198079,1054637,965122,1175225,1306539,1186644,31345,31345,31345,31345,30335,30335,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,--,--,0,
持有至到期投资(万元),21437,15361,15128,15041,15440,15250,10126,9967,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期应收款(万元),--,--,1866356,1667275,1472367,1246671,1203711,1168894,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
长期股权投资(万元),141678,140897,139312,137341,22274,21770,20837,10794,193,192,190,190,188,188,30522,30522,30519,30519,30516,516,515,515,512,512,511,511,509,509,508,508,506,506,506,506,527,536,536,536,862,862,873,873,2822,3212,3265,3265,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
