报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),8062,27200,5917,6088,7196,4633,3473,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),125,117,270,340,753,234,412,
应收账款(万元),8182,8102,5757,7430,6389,6046,5670,
预付款项(万元),420,249,137,66,188,450,565,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),93,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),546,561,883,884,545,18,177,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),1973,1806,2229,2360,2515,2834,2301,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),19705,301,142,183,268,150,44,
流动资产合计(万元),39107,38335,15334,17351,17854,14364,12642,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),20,20,20,20,20,20,20,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,8415,8349,8298,7410,--,--,
累计折旧(万元),--,3202,3029,2865,2263,--,--,
固定资产净值(万元),--,5213,5320,5433,5146,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),5150,5213,5320,5433,5146,4447,4310,
在建工程(万元),2536,2036,1487,1140,54,27,--,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),1764,1774,1784,1794,1833,461,472,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,
长期待摊费用(万元),10,15,19,24,51,64,62,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),85,105,99,101,137,197,105,
其他非流动资产(万元),165,17,--,20,97,254,111,
非流动资产合计(万元),9731,9179,8730,8532,7339,5470,5080,
资产总计(万元),48837,47514,24064,25883,25194,19833,17723,
短期借款(万元),--,--,--,--,3300,5695,5150,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,
应付账款(万元),3305,3045,2099,2438,1884,2888,3833,
预收账款(万元),117,53,145,81,61,86,90,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),356,355,317,720,806,503,372,
应交税费(万元),396,388,304,246,442,471,233,
应付利息(万元),--,--,--,--,4,9,8,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),1055,1468,261,261,918,3,102,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),5230,5310,3126,3747,7416,9655,9788,
长期借款(万元),--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,
负债合计(万元),5230,5310,3126,3747,7416,9655,9788,
实收资本(或股本)(万元),8420,8420,6315,6315,6315,1000,1000,
资本公积(万元),28835,28835,10849,10849,10849,--,--,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),479,479,479,479,71,972,679,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),5874,4471,3294,4492,543,8119,6034,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),43608,42205,20938,22135,17778,10092,7713,
少数股东权益(万元),--,0,--,--,--,87,222,
所有者权益(或股东权益)合计(万元),43608,42205,20938,22135,17778,10179,7935,
负债和所有者权益(或股东权益)总计(万元),48837,47514,24064,25883,25194,19833,17723,		
  
