报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),30061,38868,35604,16630,17089,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),12483,1282,2026,2480,1084,
应收账款(万元),17271,16749,13272,11716,7036,
预付款项(万元),356,275,103,218,250,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),288,328,209,130,399,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),18632,9888,4931,3786,3691,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),732,743,65,--,--,
流动资产合计(万元),79823,68133,56210,34960,29548,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),334,329,692,666,678,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),8376,8016,--,--,--,
累计折旧(万元),3419,3076,--,--,--,
固定资产净值(万元),4957,4940,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),4957,4940,4729,5053,5166,
在建工程(万元),7233,6319,1420,66,--,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),2754,2825,2859,2836,756,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,148,319,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),1049,1456,617,400,369,
其他非流动资产(万元),625,625,625,625,1041,
非流动资产合计(万元),16952,16494,10943,9794,8330,
资产总计(万元),96775,84627,67153,44754,37878,
短期借款(万元),--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),458,528,120,--,--,
应付账款(万元),10851,6979,2163,1826,1771,
预收账款(万元),21167,9479,5287,1743,2779,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),3134,3976,3403,3349,3423,
应交税费(万元),1930,3765,1474,2384,1270,
应付利息(万元),--,--,--,--,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),392,363,339,100,779,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),37932,25091,12785,9402,10022,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),446,399,339,284,226,
长期递延收益(万元),400,728,686,695,907,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),846,1126,1025,979,1133,
负债合计(万元),38778,26217,13811,10381,11154,
实收资本(或股本)(万元),5000,5000,5000,1053,1000,
资本公积(万元),13252,13252,13240,4282,3019,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),1326,1326,945,526,524,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),38420,38833,34157,28512,22181,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),57997,58410,53342,34373,26724,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),57997,58410,53342,34373,26724,
负债和所有者权益(或股东权益)总计(万元),96775,84627,67153,44754,37878,		
  
