报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),8048,10493,12119,14836,14077,14351,13166,27057,23786,45159,25038,17762,15177,15549,19915,21607,19838,19929,23789,29785,31646,33641,46320,55911,62757,63427,72351,75044,70210,80833,109431,115021,7233,6127,7741,4776,2332,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),1417,2336,12538,18311,6039,10345,10828,7069,5472,15078,17736,14790,9983,9429,7396,8025,8255,6152,2244,4307,3866,11137,10915,2134,3082,1396,2799,3714,4261,714,2718,3378,1216,936,3424,3704,1369,
应收账款(万元),56141,71058,65560,71866,76860,76872,75022,79800,90608,89357,83069,95891,104760,97960,88669,81572,82350,79416,55238,57168,51054,40313,31043,33254,24624,24080,16683,16400,19163,18802,12017,10749,13256,12855,10425,7920,8333,
预付款项(万元),23690,25506,17593,21081,17237,15784,14984,14988,24306,19895,24847,22327,22933,20750,17692,18740,42248,38520,28458,24561,14842,9862,9772,7838,4925,7937,7215,5072,765,5150,4041,1013,1745,1092,404,74,414,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,281,233,280,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,0,--,0,0,0,0,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),30966,21209,35737,24925,17555,18081,17467,15239,14442,15642,7903,6434,3492,8092,10744,4208,7695,9458,5266,4186,4559,2260,2070,1699,1200,1263,681,540,819,806,698,694,915,588,469,692,611,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
