报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),99066,159955,44443,46608,43168,69431,72278,19676,33423,33714,37628,26675,29626,32843,38422,6771,5713,2683,3019,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,19,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),52432,57865,43776,43738,32687,31840,24634,20717,20004,15841,21054,26689,22944,22238,14366,12961,8069,895,2470,
应收账款(万元),72234,71347,94989,69907,62947,42221,34004,33222,31532,30565,20609,9002,18731,15806,15974,14804,11014,9169,2958,
预付款项(万元),17082,9176,22379,23318,24658,19094,9013,7731,3872,2473,5636,3932,712,654,653,403,59,126,300,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,316,264,219,120,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),6551,6151,8334,4764,6025,8352,7976,7086,3178,3033,411,140,128,102,46,14,13,182,174,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),65644,57592,49079,53931,43756,30701,20762,17388,15732,14792,14085,17058,10167,10761,6164,5032,3747,3588,2430,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),22306,20476,16237,12780,8950,12345,5906,3846,3970,4269,656,418,--,257,--,--,--,133,--,
流动资产合计(万元),335317,382562,279238,255046,222191,213983,174573,109666,111711,104688,100394,84178,82526,82800,75625,39986,28614,16777,11353,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),4393,4393,3194,2143,1643,1643,1731,1731,1250,1250,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),32198,23616,4801,872,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),11573,11677,11862,12183,11727,9912,6563,6592,5798,1471,879,1292,385,411,443,483,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,156064,--,112551,--,77746,--,34856,--,31573,--,24637,--,23027,--,22293,18857,--,--,
累计折旧(万元),--,15506,--,12033,--,8868,--,6936,--,5710,--,4637,--,3753,--,2911,2223,--,--,
固定资产净值(万元),--,140558,--,100518,--,68878,--,27920,--,25863,--,19999,--,19274,--,19382,16634,--,--,
固定资产减值准备(万元),--,116,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),134487,140442,136810,100518,68781,68878,27240,27920,25494,25863,23304,19999,19660,19274,19206,19382,16634,13422,5061,
在建工程(万元),29021,32892,21797,44892,55104,41563,58257,39711,22412,22894,19012,8022,1659,1022,293,36,2498,4507,4003,
工程物资(万元),6,6,34,42,3465,3465,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),13859,6340,6606,6688,6685,6791,5200,5152,3272,3335,3538,3572,3935,1792,1805,1818,1788,1821,1860,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),435,424,236,224,43,187,10,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1074,989,532,641,473,439,393,367,330,316,252,161,239,224,209,203,140,122,79,
其他非流动资产(万元),13710,16024,--,139,7,104,--,0,--,--,--,--,--,--,--,--,16,--,--,
非流动资产合计(万元),240756,236805,185871,168342,147927,132982,99394,81473,58556,55129,46984,33047,25879,22722,21956,21923,21076,19872,11004,
资产总计(万元),576073,619366,465109,423388,370118,346965,273967,191139,170267,159817,147378,117225,108405,105522,97581,61909,49690,36648,22356,
短期借款(万元),42795,45259,59712,54625,35037,15720,31949,20938,19933,11183,22032,19126,7966,6820,1500,2400,2400,1500,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,3,--,--,--,--,--,--,10,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),39888,39274,27821,20965,30203,40486,39528,20410,15593,17583,11685,9841,14275,12912,9260,9650,2914,3166,2716,
应付账款(万元),51506,67237,69659,60487,52241,43794,16375,28142,19412,18352,10661,9287,6055,7933,9120,10296,10347,6722,2108,
预收账款(万元),1992,2385,5051,5418,1992,1645,887,1152,631,109,701,118,91,792,824,45,5,47,9,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1284,2696,512,771,1284,1829,1704,1423,475,723,370,333,239,225,149,144,285,169,85,
