报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),6577,7038,8309,6078,14497,19843,19505,17426,25878,22282,12152,15151,19429,18429,13629,7998,7552,9194,4303,4131,5069,7720,5724,6349,7276,7383,10431,7896,9930,9515,14892,22514,14268,19867,8448,10870,12190,15110,14326,12918,11792,13497,9763,8603,10062,10629,20153,19725,20654,20990,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收票据(万元),102,93,179,475,752,683,839,426,972,1090,610,597,667,1030,1812,1339,27,150,285,162,437,1651,825,1333,1374,1715,1233,674,1511,2728,1051,1454,1342,669,1112,1516,942,794,1074,381,616,1224,616,609,562,520,459,1487,605,595,
应收账款(万元),75460,81581,107283,103563,107955,110242,120205,107769,99700,101719,89673,93518,89579,87168,70551,63690,64254,64110,48075,44341,8920,8714,9704,9700,8403,8048,8932,9462,9083,7790,9066,8426,8442,7593,8458,8701,7566,7991,7345,6267,5755,7031,7591,6581,6112,5967,6671,6019,5878,4878,
预付款项(万元),13565,12332,29544,20188,10635,9945,13731,11538,3689,4479,4977,6323,8460,9271,8925,3792,715,244,378,23,989,731,1366,1151,958,620,2874,2863,2858,2256,12031,10730,5214,1623,531,403,482,446,369,685,483,289,976,936,1248,712,2457,2354,2173,359,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
其他应收款(万元),--,3585,7075,7744,7981,5020,8514,4171,1451,1287,620,2045,1195,619,974,2329,1186,306,1234,111,338,267,260,177,185,274,284,252,356,309,67,40,17,19,14,18,28,22,55,55,55,66,72,77,174,99,73,43,174,88,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
存货(万元),15316,15435,21629,21573,21799,15961,19287,24927,24774,24941,34487,32719,38549,36425,41142,39659,40318,34323,33208,27524,8957,9331,9552,9751,10257,11016,11405,11726,11994,11999,13791,12202,11243,10098,10006,9771,9432,8906,8899,8659,8664,9564,11699,12457,10380,10777,10368,10757,10446,10696,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
其他流动资产(万元),480,907,545,956,465,3609,195,211,354,369,--,--,--,0,--,0,174,132,128,136,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
流动资产合计(万元),115201,120971,174564,160578,164084,165303,182275,166469,156818,156168,142520,150353,157879,152942,137032,118808,114225,108458,87612,76428,24710,28414,27431,28461,28454,29055,35159,32873,35732,34597,50898,55366,40526,39870,28570,31279,30639,33269,32068,28964,27364,31670,30717,29262,28538,28703,40181,40386,39930,37606,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,2324,2482,2526,1833,1983,1746,1722,1842,2046,2042,2620,3226,3580,4032,3430,3140,4934,5310,--,0,0,0,0,0,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
长期股权投资(万元),528,576,51,52,81,56,57,--,--,--,--,--,--,0,--,--,--,0,--,--,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,301,1001,1001,1001,1001,1001,1001,1001,1001,1001,301,301,301,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
投资性房地产(万元),35,35,37,37,37,37,37,38,38,39,39,40,41,41,--,--,--,0,--,--,696,708,720,731,743,755,767,779,791,803,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
固定资产原值(万元),--,40465,--,36774,--,36565,--,14398,--,14360,--,13576,--,13547,--,2872,--,1341,--,1198,--,55603,--,51980,--,44537,--,34475,--,33842,--,28329,--,27111,--,26467,--,25552,--,26231,--,25095,--,22940,--,22272,--,20977,--,20643,
累计折旧(万元),--,8436,--,7222,--,6494,--,3650,--,3187,--,2883,--,2394,--,1304,--,804,--,612,--,18307,--,16600,--,16174,--,14874,--,13709,--,13109,--,12212,--,11435,--,10546,--,10296,--,9281,--,8761,--,7952,--,7157,--,6546,
固定资产净值(万元),--,32029,--,29552,--,30071,--,10748,--,11173,--,10693,--,11154,--,1568,--,537,--,586,--,37297,--,35379,--,28364,--,19601,--,20133,--,15220,--,14898,--,15033,--,15006,--,15935,--,15814,--,14179,--,14320,--,13821,--,14097,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,814,--,669,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,--,0,
固定资产(万元),--,32029,29645,29552,29649,30071,10600,10748,10936,11173,10608,10693,10898,11154,8325,1568,539,537,601,586,36893,36483,33974,34711,28194,28364,20074,19601,19681,20133,15794,15220,14676,14898,14818,15033,15299,15006,15590,15935,15412,15814,13785,14179,14551,14320,13733,13821,14016,14097,
在建工程(万元),--,4615,4846,5002,4898,4711,3068,2808,2210,1701,1134,1035,780,678,2864,3,--,0,--,0,24569,24970,26263,25847,32670,31962,31703,27268,26147,25528,17331,9789,7808,6824,2797,1603,14,558,213,142,540,427,2695,2596,1427,1308,459,167,154,142,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,241,241,519,276,393,1053,9480,12002,7547,8268,--,--,--,0,--,0,709,0,221,293,424,407,284,69,359,151,--,--,--,218,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,0,--,--,--,--,--,--,648,648,648,648,648,648,648,648,517,517,517,517,--,0,--,--,--,0,--,--,--,--,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
无形资产(万元),29707,29854,30372,30493,30640,30787,14419,14472,14532,14593,14655,14716,14777,14835,11405,2,--,--,--,0,6660,6701,6742,6782,6823,6861,6900,6732,6769,6807,6567,6603,6643,4555,3910,3931,3953,3975,3997,4019,4053,4076,4077,4086,4111,3126,3208,3148,2973,3190,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
商誉(万元),97294,97294,134974,134974,134974,134974,127871,109724,109724,109724,109724,109724,109724,109724,110735,73603,27272,27272,27272,0,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
长期待摊费用(万元),1548,1600,1207,1166,1137,1148,63,64,69,75,87,92,64,68,65,44,37,14,--,0,--,--,7,18,29,40,51,65,84,103,121,140,158,177,196,214,233,252,272,291,312,325,128,140,141,146,52,35,83,33,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,--,--,0,
