报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),22718,26388,31449,37556,29805,21756,21019,17714,13225,11523,10898,15939,13705,15571,22553,26398,23535,23440,28879,31752,30505,31657,35718,37083,34386,3829,7731,9506,4706,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,1025,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1552,753,1090,835,617,634,1609,1937,1435,713,497,2854,655,284,567,785,600,809,935,1080,325,799,1346,884,615,517,220,57,470,
应收账款(万元),28533,29423,31741,34472,23944,24420,23641,24279,23506,24839,23410,23018,18541,19527,19706,19704,20165,20428,17351,17775,16714,17057,15142,16112,14683,15761,12786,9404,6685,
预付款项(万元),9044,7722,3103,1695,1600,1491,3574,1280,2129,767,1062,691,2275,2106,1641,1358,1038,968,724,802,893,750,910,529,786,871,746,1560,244,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收利息(万元),--,--,--,105,--,--,--,--,--,--,--,--,--,41,--,85,25,92,--,14,--,--,--,121,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他应收款(万元),7006,4718,5107,4673,4406,3244,4043,2569,2602,3062,1811,1404,2636,2509,1652,1340,1334,1886,1333,1081,1465,2013,1218,996,1427,1467,991,746,741,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
存货(万元),14358,12518,10982,9295,14288,14006,13138,11124,13500,13127,13970,14273,15414,12838,10912,10474,9185,8750,8806,8403,9206,8170,8442,8255,8646,8142,8787,5533,4275,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),753,753,753,753,1361,1058,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
