报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),22725,18024,6291,6281,13496,15494,12390,10493,12941,17048,12126,9796,22834,6186,6287,9921,10515,9273,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),16700,20427,16446,16787,12129,8036,10324,8095,9924,5838,4704,3967,4673,6648,4037,4691,3314,1136,
应收账款(万元),36008,32420,32608,33790,28598,25190,28967,28037,25285,24424,28272,26591,24542,20996,21003,17211,13908,9169,
预付款项(万元),3249,2730,1588,1405,1859,957,766,550,1095,697,1097,2017,1296,1035,1367,629,752,644,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1320,617,946,721,809,608,1236,931,1196,603,880,757,1043,729,1030,546,597,861,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),72126,62271,62019,58738,51379,45584,38810,36959,35602,33711,37392,36155,40133,35369,35853,28893,23491,26227,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),3707,2527,170,200,143,139,174,206,113,62,37,61,--,--,114,--,--,--,
其他流动资产(万元),2996,1426,4369,972,879,771,452,870,462,928,222,556,1186,1078,--,--,--,--,
流动资产合计(万元),158832,140443,124437,118893,109292,96778,93119,86141,86619,83311,84730,79901,95707,72040,69692,61891,52577,47311,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),628,991,3016,117,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),21975,21884,18538,18271,18128,18045,17921,18008,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,61324,--,59338,--,57496,--,54840,--,48526,--,46318,--,45579,45771,21625,--,--,
累计折旧(万元),--,21325,--,19308,--,17115,--,15275,--,13963,--,12296,--,10617,9733,7644,--,--,
固定资产净值(万元),--,39999,--,40031,--,40382,--,39565,--,34564,--,34022,--,34962,36038,13981,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),42896,39999,39464,40031,39986,40382,37981,39565,35157,34564,33737,34022,34446,34962,36038,13981,12232,12934,
在建工程(万元),9531,9867,6967,5974,5514,4319,5646,3825,7564,6861,6167,5273,3347,2342,986,17954,9426,5733,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),17071,17245,17312,17356,17531,14473,14563,14651,14736,14864,14943,15058,15190,15312,15445,6010,5136,5150,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),1041,1054,1060,1068,1075,1077,1062,1059,358,360,353,339,341,340,341,338,349,--,
长期待摊费用(万元),1994,1436,766,858,879,681,567,691,513,702,781,602,516,174,75,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
