报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),440413,771044,328619,284865,393652,307482,366708,302883,315413,363795,245321,244259,257364,330701,294267,211589,280383,245198,226315,247163,268914,218806,179662,215657,146905,112908,53306,54731,52371,77680,49559,66931,78315,106252,17426,20479,13350,15784,19764,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),17,23,52,383,49,--,11,19,250,132,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),32414,55197,28242,69479,64164,171965,124421,130887,26064,155872,24831,14050,90919,145585,16203,24049,2473,14463,18420,8225,12326,10979,51240,19382,24982,25671,19839,10493,7558,5517,9854,4780,5745,1872,918,476,2882,873,774,
应收账款(万元),910538,953575,829490,812134,600502,601196,782331,776313,785232,702462,522666,522004,465877,465727,556228,564126,485865,476186,339926,383404,360512,315336,261910,227892,248287,190975,155629,135142,110932,100959,98986,87471,71909,65448,63000,56931,44877,37459,25921,
预付款项(万元),155107,154654,200289,224652,142440,135037,99250,61936,35973,32414,58115,45500,23070,18715,45317,47627,32763,40151,35768,23629,16838,16938,24746,61512,48501,31577,20328,14955,13249,4145,8196,6241,6753,4163,8649,2930,1938,2313,1226,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),848,1673,1193,796,925,760,484,617,486,546,1083,735,741,739,63,50,89,50,376,217,--,37,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,--,915,--,900,--,--,--,818,--,--,735,735,--,0,571,571,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,60,
其他应收款(万元),56987,68642,33353,37438,22899,17976,35395,27496,29165,26168,34128,27611,31669,29745,32314,29056,36534,29602,26138,16209,10611,11314,9442,11428,9148,8964,7055,4253,3416,3016,1910,1773,943,1494,1103,514,533,1376,18659,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
存货(万元),633271,563853,716422,610797,597713,643088,607087,408294,346614,328675,413925,309290,233413,258921,366019,302194,320763,291044,216244,189242,198760,229440,137411,141910,96442,80486,64644,64840,59364,53150,56222,51019,48765,33922,36645,22041,18608,22366,15242,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,2500,2500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),58317,53467,52423,47887,44862,43376,36168,25374,16710,18566,33015,18860,19620,25444,26277,21436,27610,24410,31700,22195,25951,32984,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),2287912,2622128,2190085,2089345,1869705,1924279,2051854,1733818,1555907,1629448,1333083,1182308,1123408,1276313,1336688,1200127,1187051,1121675,894887,890284,893912,835833,664411,677782,574266,450580,320801,284414,246889,244466,224726,218217,212430,213150,127740,103370,82188,80172,81646,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),39852,10577,31431,31357,30261,29941,24834,23961,29763,28857,32881,39410,33991,20172,14823,14279,12776,24174,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期应收款(万元),878,878,15878,878,5658,5658,7830,2500,2500,2500,6015,6015,6015,6015,20219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),21039,20476,19988,19327,19836,19259,25666,25143,24118,23759,25581,25958,22614,21470,--,21912,23551,21778,21054,19544,18633,18294,16305,11723,11276,11233,34777,10806,10074,9385,9022,8911,8430,7679,7087,6289,6048,5143,4791,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,574001,--,526862,--,517691,--,467817,--,424241,--,392149,--,386278,--,355817,--,354812,--,320640,--,314388,--,178405,--,153035,--,51744,--,50527,--,43279,--,31914,0,25811,18787,0,0,
累计折旧(万元),--,171796,--,158101,--,140057,--,122488,--,106874,--,93567,--,79860,--,66306,--,53771,--,39870,--,29925,--,20022,--,14410,--,11739,--,9965,--,8736,--,5604,0,4846,4161,0,0,
固定资产净值(万元),--,402205,--,368761,--,377634,--,345330,--,317367,--,298582,--,306418,--,289511,--,301041,--,280770,--,284463,--,158383,--,138625,--,40005,--,40562,--,34542,--,26310,0,20965,14626,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产(万元),401215,402205,388167,368761,365735,377634,365946,345330,311239,317367,294506,298582,299965,306418,285749,289511,302813,301041,294034,280770,282791,284463,234697,158383,136921,138625,40202,40005,40173,40562,35772,34542,29685,26310,21414,20965,14626,9263,5896,
在建工程(万元),16386,18505,33854,48783,48402,42048,48798,51423,64827,63666,47232,39202,32611,30975,15121,9030,6833,6644,22862,38324,35255,29424,157847,134923,138218,116201,25460,18671,10887,4549,3565,2160,3927,3751,4138,1853,2539,1069,151,
