报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2013-03-31,2012-12-31,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),12226,18445,20508,6659,2980,4268,7154,5365,2133,1358,2847,1804,753,2057,1186,549,3237,1807,1813,1842,1366,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),9103,7490,9527,11523,6818,5582,7129,6838,6284,3090,2795,1276,2082,2692,3339,2749,1791,2538,2449,476,524,
应收账款(万元),18418,16651,12893,10055,16191,14236,8893,9224,10482,9291,7628,6643,5630,5146,5955,7400,6206,4087,3921,4386,2958,
预付款项(万元),1482,1357,1033,606,1005,987,594,302,171,114,124,1317,1519,1492,1686,1740,1385,94,48,237,352,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),96,90,82,61,219,204,109,106,83,103,58,99,109,57,336,347,58,42,66,142,342,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
