报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
货币资金(万元),22748,23014,13292,11422,17642,13352,8446,12492,13390,18722,15501,16129,42638,19391,10215,11389,23174,9715,20079,21307,35500,15466,20728,13889,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),20801,15936,6087,1421,9873,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),22154,18705,21359,17141,10617,6927,11772,7305,2069,3043,2047,1369,2696,2666,1694,4610,8261,1221,2238,2755,--,7056,3181,717,
应收账款(万元),25078,23603,27623,23357,19997,16076,14790,12671,12651,11510,13413,13394,12282,13777,15367,14612,13314,11124,11074,15200,--,8266,5140,6270,
预付款项(万元),5863,8322,5645,9845,4008,5445,2081,4610,2845,4103,3778,9570,5983,8249,8733,8113,8589,9710,13629,8524,--,12416,9432,13283,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),436,302,139,28,--,--,--,2,6,13,15,8,27,16,12,11,17,5,22,39,--,32,64,20,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1732,1944,1744,3055,2820,2784,2854,2954,2877,2884,2800,407,1102,452,321,755,371,126,1237,103,--,165,167,599,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),39858,39868,34577,33284,30496,40355,31776,25376,25284,25890,26256,31101,34985,29079,35079,48070,58718,50638,46577,57865,--,52889,32589,27747,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),18228,26340,15262,18966,677,1391,1029,1338,802,227,362,713,1594,156,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),156897,158035,125728,118520,96130,86330,72749,66748,59924,66391,64172,72691,101306,73786,71420,87559,112445,82539,94855,105794,124400,96290,71300,62523,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,136,127,89,217,362,260,82,32,87,--,112,1675,665,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1035,1052,1069,1296,1399,1534,1854,1877,1901,2429,2457,2485,2513,2541,2867,2560,1373,1391,1106,1121,--,1152,1212,1273,
固定资产原值(万元),214991,--,214329,--,211072,--,206473,--,185088,--,171964,--,180575,158910,179487,176484,175366,171799,167556,167025,--,128712,--,63453,
累计折旧(万元),102572,--,95180,--,86532,--,77898,--,69374,--,61545,--,62576,58685,61907,54230,50286,46415,42434,38611,--,32483,--,22820,
固定资产净值(万元),112419,--,119149,--,124540,--,128575,--,115714,--,110419,--,117999,100226,117580,122253,125080,125384,125123,128414,--,96229,--,40633,
固定资产减值准备(万元),252,--,572,--,572,--,572,--,517,--,517,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),112167,115763,118577,120953,123968,124413,128003,119791,115197,118538,109902,114040,117999,100226,117580,122253,125080,125384,125123,128414,--,96229,96982,40633,
在建工程(万元),5058,4840,5246,4241,2881,4989,4452,13455,15251,12485,24736,16905,10540,26765,8102,1532,2880,2937,8569,1276,--,22880,4006,7364,
工程物资(万元),--,--,--,--,125,213,242,19,4,4,4,4,6,15,27,85,87,87,95,93,--,87,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
