报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),31001,33064,21539,39780,33576,24556,40506,29505,29858,25133,20814,26829,16226,28321,26183,41188,40112,41758,48360,51076,49790,53750,63105,70229,66386,79292,85505,89673,92347,97500,103836,118213,111495,6576,11837,11480,4745,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),1272,1456,834,744,878,729,556,452,331,463,358,629,388,775,1147,663,558,354,382,561,326,397,121,226,59,50,72,205,164,10,89,81,390,430,315,125,132,
应收账款(万元),42842,41995,41771,34366,41135,37332,33391,30821,38001,34382,33301,29569,33524,31338,28722,27120,34596,33089,35096,32506,32348,29474,24678,19255,20075,17775,15010,10217,16927,13932,12031,8078,12890,10211,7204,4955,3406,
预付款项(万元),12227,9605,8845,9036,6238,4767,4259,4163,4884,3866,4256,3444,3580,3629,4299,2644,3173,2580,4094,4026,9552,8901,7048,5863,4389,3344,3033,15880,8457,4993,6410,2858,2106,1439,1860,1336,825,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),--,149,536,286,267,237,212,295,18,56,158,59,136,147,164,54,346,187,751,4136,3891,3516,3132,2761,3135,2552,2063,1533,2059,1405,756,332,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
其他应收款(万元),7041,5678,5718,2696,4963,4014,4951,3423,4301,4347,4222,3867,4077,3907,3918,3405,4619,5496,5895,3909,5495,5303,6096,3779,3798,3981,2972,2216,1837,1799,1003,721,732,726,547,564,657,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),22013,23095,23519,23678,22085,23784,24188,21890,18278,18912,18681,18175,16631,19213,14906,14284,11709,13287,13243,11395,11815,11840,11838,12563,12455,11696,12041,11202,9235,8728,6571,6509,3377,4044,3735,2404,1883,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),25528,10357,28732,21256,24681,25479,12796,26795,18796,1844,7612,7516,20653,13804,10632,876,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,0,0,0,0,
流动资产合计(万元),141923,125400,131495,131842,133823,120897,120859,117344,114468,89004,89404,90089,95214,101135,89970,90233,95114,96751,107854,107609,113216,113180,116018,114676,110297,118689,120697,130925,131024,128366,130696,136793,130989,23426,25498,20864,11648,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),13823,13823,13823,13823,13823,13823,9323,9323,5748,2748,2748,748,748,748,748,748,748,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),8509,8547,8611,8646,8684,8685,8692,8983,8982,8986,9044,9063,4649,4650,4645,284,304,1052,1075,1053,1086,1110,1118,1129,1126,1720,2021,2043,1042,1041,4301,3862,3278,2553,1611,622,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),2283,2313,2342,2387,2417,2447,2476,2506,2536,2566,2600,2630,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,0,0,0,
固定资产原值(万元),--,116409,--,114109,--,112154,--,110185,--,81585,--,81135,--,56804,--,47650,--,47014,--,42172,--,41387,--,40829,--,39146,--,26780,--,21369,--,17333,--,11889,11216,0,0,
累计折旧(万元),--,33880,--,30573,--,27936,--,24659,--,21835,--,19273,--,17301,--,13840,--,12302,--,10975,--,9640,--,8363,--,7264,--,5533,--,4628,--,3562,--,2300,1955,0,0,
固定资产净值(万元),--,82529,--,83535,--,84218,--,85525,--,59750,--,61862,--,39503,--,33810,--,34712,--,31197,--,31747,--,32465,--,31882,--,21247,--,16741,--,13771,--,9589,9261,0,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
