报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),14954,12838,16435,8117,9395,12043,18462,18658,19596,11958,13953,15622,15776,14356,8983,13275,14283,15391,24302,39749,41732,46894,82770,31822,58375,30907,37500,34847,9831,5206,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1685,1809,4050,--,--,--,20000,--,--,--,--,--,--,--,100,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),13595,14781,23588,22185,15419,14499,13474,8156,10124,12144,11687,9705,6296,11468,11004,9598,9801,9596,14808,6099,6545,5542,3853,5167,893,3601,2069,4342,1356,1895,
应收账款(万元),83589,66856,56046,59804,56557,51896,47548,53040,53147,51645,50529,55428,58010,50434,55654,57941,65509,64140,68365,87165,87139,68182,67136,86935,82349,61176,59652,49347,44718,33783,
预付款项(万元),2280,3264,959,365,950,265,768,390,593,456,843,1627,864,1139,568,1505,904,596,208,1092,2148,2405,825,1171,1598,3685,4477,842,389,829,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
