报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),39774,46422,62057,69442,49447,49391,52678,47660,9934,11836,10177,10191,8164,7464,7604,8230,4487,7298,6767,6318,6673,6592,7743,9216,8266,6780,9079,12721,13542,17441,17325,18879,23407,24616,26656,2037,885,2137,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,793,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),65,80,85,61,61,32,35,51,55,49,53,67,105,119,122,145,179,254,232,231,--,--,51,51,18,--,--,--,10,--,--,25,43,0,--,0,0,0,
应收账款(万元),35585,32634,20605,20345,20406,21689,19347,19555,17029,16326,15357,14274,13955,13150,13375,11644,14216,13144,14069,11619,10537,9998,8620,8114,9824,9845,8745,7488,9035,6921,5619,4648,3675,4168,5241,4958,3443,1822,
预付款项(万元),3448,3808,3059,2202,2408,2740,2848,1684,1639,1262,1135,1252,1312,1245,1453,1107,2210,2448,2305,1270,1398,872,1057,680,1711,1320,1461,1711,2667,2848,2662,2621,1436,1116,975,283,529,176,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
