报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),33759,47251,31954,62582,60827,40315,85704,22609,23771,31419,41120,47608,23947,47370,40294,51359,26526,57184,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,235,--,--,--,482,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),12917,15830,7783,6037,3918,6599,6861,9606,9928,11987,10139,16259,20562,16136,22244,14637,16239,20921,
应收账款(万元),17869,16102,8645,9193,8185,8100,7439,10283,7712,6699,6652,7103,6159,4566,5621,4782,4814,3321,
预付款项(万元),1979,1819,4963,3677,1869,1728,1067,1257,788,698,1471,734,683,616,456,451,561,475,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,387,564,687,773,859,859,--,--,--,--,--,--,--,
其他应收款(万元),248901,233799,215084,224360,225392,212329,203420,212301,190772,167092,156203,194787,175831,184928,215255,183988,101122,81675,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),7863,6900,7262,149,160,155,151,148,131,123,124,133,131,120,128,71,60,62,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),12925,9543,10358,24274,29076,48749,41681,17960,20041,22269,23500,24329,24332,22122,--,16282,13733,--,
流动资产合计(万元),336214,331243,286049,330271,329428,318362,346887,274851,253917,241147,240068,290953,251645,276094,283999,271569,163055,164119,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1240,1294,1372,1402,1435,1328,964,898,903,783,268,983,905,821,754,472,271,150,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,104742,--,93340,--,93124,--,92419,--,88792,--,85840,--,85831,84571,82942,82243,79841,
累计折旧(万元),--,21327,--,19313,--,17732,--,16253,--,14756,--,13299,--,11921,11232,9206,6598,4111,
固定资产净值(万元),--,83415,--,74027,--,75393,--,76166,--,74036,--,72541,--,73910,73339,73737,75646,75730,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),83869,83415,75546,74027,74629,75393,75556,76166,73416,74036,74693,72541,73233,73910,73339,73737,75646,75730,
在建工程(万元),11306,11549,8238,5956,5309,3505,1595,623,3116,1265,167,122,143,82,776,722,39,281,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),78608,78408,80144,25575,25819,25868,26107,26181,23156,23220,23430,18939,19055,19169,19283,19596,20044,20492,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),8765,8765,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),915,817,557,451,442,237,167,51,11,11,13,14,15,17,22,50,58,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3741,4089,2729,2143,1892,1893,1367,1384,1289,1268,1021,1062,923,819,732,682,466,451,
其他非流动资产(万元),795,796,--,--,--,--,--,--,6097,3314,3314,3314,3314,3307,3307,1753,--,--,
非流动资产合计(万元),189239,189133,168586,109554,109525,108224,105756,105302,107988,103897,102906,96974,97589,98125,98213,97012,96523,97104,
资产总计(万元),525454,520376,454635,439825,438953,426586,452643,380153,361905,345045,342974,387927,349233,374219,382211,368581,259578,261224,
短期借款(万元),118572,155009,112107,144101,142492,138731,158869,170883,168327,159770,158004,167793,177316,189429,221352,172202,95071,115717,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,100,--,--,67,--,208,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),41,493,--,--,--,--,--,--,237,237,--,--,--,--,--,--,--,--,
应付账款(万元),12202,7287,2995,1009,943,1305,967,953,668,843,866,986,1063,952,1037,791,899,407,
预收账款(万元),27936,16597,15662,13656,13168,11024,10413,9177,10859,11370,11581,10838,10913,11068,12940,17171,12894,11364,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1243,2134,935,783,228,1328,605,686,331,1120,220,350,188,964,617,922,609,707,
应交税费(万元),2288,3551,1733,1173,646,1020,644,884,976,786,337,677,959,998,-22581,1330,1308,-4275,
应付利息(万元),385,402,628,681,760,609,979,894,799,825,1105,1384,1089,1345,1206,876,323,461,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),78992,55424,51277,51720,51703,45267,54717,55704,37560,27696,25267,61390,46311,58059,53918,67954,46875,38878,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),6766,6731,171,171,171,171,2069,2067,2040,2077,7169,7549,7545,7549,7045,7041,7041,6430,
其他流动负债(万元),2279,2561,1685,1852,2184,2425,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),250702,250190,187193,215145,212295,201879,229263,241246,221798,204726,204550,250967,245483,270364,275534,268354,165021,169895,
长期借款(万元),--,--,--,--,--,--,--,--,--,2000,2000,2000,2000,4000,9500,11500,18500,25500,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
