报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
货币资金(万元),107875,114243,130468,131895,111578,72478,54990,61702,66783,50872,28890,33740,27164,4868,7427,5409,10034,6904,6482,4868,3536,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收票据(万元),7234,11777,7915,5644,9862,6617,8179,4906,5137,4659,6211,6375,10400,990,580,390,550,375,452,90,775,
应收账款(万元),133949,136440,144360,150719,90520,96270,97541,100127,83964,77416,70104,52140,51922,34204,37540,33850,25635,26045,23895,16672,16589,
预付款项(万元),22379,1065,613,655,1089,565,682,541,578,381,2688,3164,2711,85,75,38,4618,63,23,24,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,2,--,0,--,0,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,600,600,600,179,
其他应收款(万元),8112,9490,9744,6941,6472,6553,6226,6241,6889,5621,7417,6568,5573,9651,9574,14956,13733,1260,854,551,5468,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
存货(万元),48,77,40,89,47,48,67,53,57,56,64,65,74,65,61,75,48,10,17,283,60,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,254,259,89,265,302,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,
其他流动资产(万元),33605,43947,32794,30347,729,870,1180,978,1426,706,417,286,531,0,89,0,--,--,--,--,--,
流动资产合计(万元),313202,317040,325933,326289,220298,183401,168865,174547,164835,139711,115792,102339,98373,49862,55346,54718,54873,35516,32412,23353,26908,
