报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),103548,128649,101552,131925,148501,31623,16362,19438,19657,49257,78587,127726,169643,323688,266465,134180,117336,46987,62541,60302,77432,48464,34750,56091,56436,46406,41084,71349,93497,112980,56153,69916,93306,102994,38117,59619,76365,61791,46223,55547,30248,35056,35685,39483,55293,57982,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,119,95,77,70,71,73,71,62,66,62,57,60,59,59,62,71,75,75,69,60,76,129,152,156,122,97,145,145,249,249,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收票据(万元),24742,34242,38173,42129,24632,26371,3767,3808,4597,7299,30043,53743,74128,40135,47513,38675,23213,27119,29414,36315,43661,50686,45381,55813,67450,108582,135131,95944,83394,84117,97014,79791,44484,43577,78448,57025,56908,73396,118444,107056,67328,51793,51976,98255,66019,58238,
应收账款(万元),116950,86256,97493,79340,109724,100837,31454,32000,40517,39270,49651,55565,48778,30682,41301,41942,48083,32634,30955,26835,30699,31376,54666,44753,72552,40307,29404,29754,33854,26882,29549,36313,35680,35558,36952,47004,55751,50740,37589,16557,25308,17150,23001,20772,30115,27650,
预付款项(万元),2712,2365,3679,3562,2774,3299,11111,11243,8133,6949,13486,13477,13656,6707,13574,9856,8742,8596,38691,39216,43212,35750,56435,71490,30995,19403,21084,14745,14221,5238,10070,7865,27268,13551,10928,5653,6046,2180,16306,12070,18036,12493,10717,3794,3923,3547,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
其他应收款(万元),13019,9295,19146,21225,12039,11374,43076,43158,44154,42871,54079,40506,42894,35936,35299,31603,68304,87628,20719,20563,20542,19387,16665,14209,16351,13306,19191,13639,15569,11989,13823,12231,12139,9241,12516,9112,9364,8121,8315,21471,9316,5959,14465,8607,12074,7989,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
存货(万元),35271,51841,22213,22945,21901,10085,28767,24210,31851,22119,41568,42814,39107,24711,38177,34460,35877,25704,40308,36335,28065,26217,33353,48562,35455,37391,46367,41871,39734,41485,40810,40497,42214,39108,35956,33778,39495,37855,37728,29550,34611,30700,26363,27372,26703,33043,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
一年内到期的非流动资产(万元),--,--,118,190,386,497,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
其他流动资产(万元),2085,3194,1939,2146,1850,2289,7605,5165,4346,3998,2341,1576,2263,4979,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,248,437,24,--,
流动资产合计(万元),298327,315841,284314,303463,321807,186376,142142,139022,153256,171764,269757,335408,390589,466933,442407,290787,301626,228742,222698,219627,243676,211941,241308,290979,279298,265454,292322,267372,280343,282766,247488,246673,255167,244158,213068,212347,244051,234179,264752,242395,185097,153400,162456,198720,194150,188448,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,250,250,250,250,250,250,250,250,250,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,0,0,0,--,0,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
长期应收款(万元),6100,6100,6100,6100,6100,6100,--,--,--,--,--,--,--,--,87130,87130,89882,89882,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,31007,31007,31007,31007,31007,27775,23275,23275,16162,16412,16412,6514,6514,6514,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,329,129,129,129,129,1329,1329,1329,1329,1329,1329,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
固定资产原值(万元),--,455634,--,432596,--,431434,--,1043645,--,1036466,--,1015846,--,1000290,--,527121,--,474169,--,412625,--,282423,--,449117,--,447020,--,425483,--,419965,--,396754,--,378425,0,365902,--,331962,--,318816,--,313912,--,243359,--,239089,
累计折旧(万元),--,130560,--,117744,--,103814,--,180040,--,164443,--,145503,--,128571,--,117365,--,106641,--,103865,--,119507,--,201787,--,191035,--,187414,--,178064,--,167275,--,158523,0,149502,--,115682,--,115398,--,106394,--,91817,--,85976,
固定资产净值(万元),--,325074,--,314852,--,327620,--,863605,--,872023,--,870342,--,871719,--,409756,--,367528,--,308760,--,162915,--,247329,--,255985,--,238070,--,241901,--,229479,--,219903,0,216400,--,216280,--,203417,--,207518,--,151542,--,153113,
固定资产减值准备(万元),--,181,--,181,--,181,--,3883,--,3896,--,3896,--,3896,--,6537,--,6537,--,4273,--,4575,--,19023,--,19180,--,21662,--,21669,--,21399,--,21399,0,23037,--,23075,--,758,--,619,--,212,--,212,
固定资产(万元),317875,324893,313706,314672,321132,327439,852099,859721,859983,868127,858448,866447,861750,867823,402233,403219,402849,360990,303158,304486,315072,158340,226292,228306,232008,236805,212338,216408,218788,220232,206038,208079,196097,198503,194683,193362,191404,193204,202696,202659,204727,206900,150088,151330,153601,152901,
在建工程(万元),73717,72976,85646,84320,83207,85808,63675,63223,59856,58700,68573,59141,59922,53071,449091,401935,352649,349150,326487,294278,240388,365484,285044,231738,194507,164770,124428,101586,90448,82946,62935,46727,36803,29552,17988,15575,10030,8853,9601,6707,5393,4703,14308,9163,6760,3817,
工程物资(万元),1933,2004,3115,3193,3999,3561,31,31,31,14,245,245,375,1964,1501,561,2282,695,4983,3023,1828,572,82,61,12,11,25,3,5,69,492,1,1,33,92,59,59,59,59,59,20,20,14,14,14,14,
固定资产清理(万元),--,--,43,--,--,--,3,3,3,3,3,--,--,--,--,4,--,315,315,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,-3,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
无形资产(万元),7227,7252,6484,6530,6522,6567,94764,95868,96866,97869,98856,100212,101432,102584,103978,105089,106429,107010,110564,111585,112428,113109,87308,87437,84644,78794,65116,65562,65782,65854,64206,64488,33497,33572,33276,33314,30795,30844,31145,7997,8045,8094,8157,8248,8339,8429,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
长期待摊费用(万元),1579,1295,1356,1889,1368,1520,4357,4365,4449,4440,3554,3641,4694,4813,2542,2738,3037,2043,2038,2053,2067,2082,2097,2112,2126,2141,2156,2171,2186,2200,2215,2230,2245,2259,2274,2289,2304,2319,2333,2348,2363,2378,2392,2407,2422,2437,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,--,--,--,0,--,0,--,--,--,--,
