报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),17215,45950,48300,66676,19560,16607,21357,20071,21532,16330,35316,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),485,1574,2392,1459,2904,645,172,257,1074,890,776,
应收账款(万元),36841,33351,31272,26269,27570,23149,21372,34249,22782,23019,15859,
预付款项(万元),1280,1711,4096,2310,1306,2169,951,1173,1346,349,421,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),258,136,78,110,245,217,562,791,962,1471,13303,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),35471,34615,33973,33140,33427,33929,31496,31565,30762,27678,25906,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),24430,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),115982,117336,120112,129964,85013,76715,75911,88106,78459,69737,91581,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1575,1575,1575,1575,1575,1575,1575,1575,1575,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1000,1000,100,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,105633,--,96330,96257,88516,85193,80260,79026,75531,73597,
累计折旧(万元),--,43968,--,41073,38802,36207,30918,28060,25199,20028,14575,
固定资产净值(万元),--,61665,--,55257,57455,52309,54275,52201,53827,55503,59022,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),61068,61665,60319,55257,57455,52309,54275,52201,53827,55503,59022,
在建工程(万元),5664,2688,2603,6844,3861,6181,1669,2927,1416,454,383,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,636,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,362,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),5673,5729,5785,3678,3744,3879,4162,4304,4446,4721,2091,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),903,1017,1149,1273,1612,2168,1842,1413,1544,713,861,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),481,477,517,533,467,530,675,752,735,526,322,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,79,
非流动资产合计(万元),76363,74152,72048,69160,68715,66641,64199,63172,63543,61917,63757,
资产总计(万元),192345,191488,192160,199124,153728,143355,140110,151278,142001,131654,155339,
短期借款(万元),5700,4700,3500,15000,20980,17780,16500,20000,16700,15400,24372,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),12721,14397,15453,14769,11021,13538,20048,19073,18209,14831,16937,
应付账款(万元),24492,25630,25827,23229,26040,20069,19235,32101,30717,30505,30794,
预收账款(万元),261,435,429,404,530,287,391,610,362,786,195,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2890,2562,1825,2963,2539,2828,2629,1949,2119,1871,1457,
应交税费(万元),967,1374,1136,744,1476,908,1080,1405,928,2047,2480,
应付利息(万元),6,4,3,19,25,26,35,37,39,37,52,
应付股利(万元),--,--,--,--,--,--,--,1937,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),788,905,957,1811,1069,1206,1177,1441,951,733,899,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,
