报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),71286,60268,41587,78816,7393,11466,26806,16254,20243,18647,21246,14076,16144,17177,25279,19757,22848,24625,3816,--,791,4365,3859,2386,551,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1623,2698,3175,1116,2664,2106,1357,763,699,743,593,110,--,72,292,340,--,40,2203,--,15,840,376,--,--,
应收账款(万元),74108,84441,77697,59900,54441,47714,46431,35512,31686,28890,29694,20055,18773,15192,15664,12895,12791,11124,11843,--,10519,7936,5452,4557,1285,
预付款项(万元),2017,1559,399,421,779,329,34,418,287,335,22,--,19,242,63,57,192,293,321,--,301,271,433,203,60,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),20285,3839,1827,2546,7906,10642,4976,2555,2139,2613,1777,2391,1693,1499,1093,1288,1110,611,549,--,636,288,180,135,108,
