报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),274441,269938,296150,330804,317215,293595,265603,340768,292581,228930,191271,194904,256756,261463,244621,223519,251401,295085,278364,396930,456048,492122,327476,331963,336495,381652,396764,403136,413835,402874,400980,130027,125890,89857,35069,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,2555,2555,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,0,7102,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),237842,284082,206997,173215,87729,103828,91032,58348,72627,100441,63571,59919,72402,86863,74253,82909,70598,62030,57611,55072,68785,57130,59276,39606,38934,62267,56234,64479,53034,43699,47180,67766,55723,27749,16397,
应收账款(万元),280733,257354,272545,295600,223838,220677,276686,293917,332227,313531,345678,352238,350021,330536,359302,392642,409786,374523,390435,369967,370668,309562,268788,255003,178679,167797,170323,169101,139743,159887,128455,101047,100169,57809,50638,
预付款项(万元),35841,36457,29977,30375,24905,22786,24526,16002,9563,5233,31290,20060,21111,15555,26596,16373,24783,26102,21022,25102,29225,29850,54361,42642,47770,43523,36109,44945,43864,23527,26503,23923,20674,22694,8518,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
