报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),12741,16970,22986,28708,3281,10020,10734,19600,11283,18046,22307,20396,21428,61367,56945,61424,80612,14196,13817,28974,26972,19441,15783,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,1028,1028,1028,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,339,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,462,26,26,--,--,--,--,--,--,--,
应收票据(万元),1635,2411,2579,1673,2257,3230,3706,3329,3136,3586,3686,2752,2487,150,--,--,--,--,3336,--,--,--,--,
应收账款(万元),23147,20764,23875,25124,37277,38014,43291,39272,41752,40837,37512,36845,37915,35459,37651,39655,30218,22676,28396,19330,903,--,--,
预付款项(万元),2717,2513,2082,2020,2128,2866,1954,2266,2612,2636,2458,1657,3578,2740,3769,3002,2466,2638,2173,1639,4238,1800,676,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,25,58,61,35,26,776,674,1115,1147,864,572,1288,1340,1081,591,158,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1679,1788,1752,1383,915,788,935,966,815,685,979,2077,743,454,349,156,259,214,100,84,83,147,363,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21466,20839,20020,17690,18296,17598,18537,19933,21524,21002,19481,19105,18940,17741,17417,15929,14748,13777,11077,6321,7368,9430,9081,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,3,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),8158,8988,14214,15489,22113,18657,21770,17595,27424,28093,35845,32249,37993,8819,12000,12099,1658,1873,2525,1253,2645,--,--,
流动资产合计(万元),71542,75326,88593,93175,86301,91198,101704,103635,109662,116034,123133,115654,124372,128533,129237,132881,130120,55373,61425,57600,42209,31157,25903,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),4106,4106,4106,4106,130,130,1000,1000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,4504,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),265,272,272,279,282,286,289,293,296,300,303,306,310,313,317,320,--,--,--,--,--,--,--,
固定资产原值(万元),--,43959,--,43438,--,23908,--,23475,--,20927,--,19917,--,9931,--,9682,--,9566,9676,--,--,--,--,
累计折旧(万元),--,8063,--,6723,--,6561,--,5729,--,5297,--,4501,--,3757,--,3654,--,3392,3148,--,--,--,--,
固定资产净值(万元),--,35896,--,36714,--,17348,--,17746,--,15629,--,15415,--,6174,--,6029,--,6175,6528,--,--,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),35970,35896,36118,36714,36430,17348,17398,17746,15841,15629,15182,15415,6520,6174,5981,6029,6418,6175,6528,5954,5797,5967,5540,
在建工程(万元),1344,1002,668,83,1041,18668,18693,16018,15330,10966,8940,8382,12460,9507,6891,6271,4930,4719,4133,906,24,18,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),7485,7369,7199,7364,4061,4085,4041,3871,3837,3928,3966,4052,1783,1662,1679,1696,1713,1730,1765,1833,282,317,194,
开发支出(万元),2251,2129,2032,1579,2167,1612,972,781,--,--,--,--,2035,1737,443,443,--,--,--,--,--,--,--,
商誉(万元),10238,10238,10238,10238,11700,11700,11455,11224,15479,15479,12813,12813,12799,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1713,1715,1760,1739,1598,1516,1215,1410,--,--,--,--,--,--,--,--,15,8,18,38,68,31,65,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),6189,5573,4693,4335,3440,4029,4377,4532,4969,4301,4213,3852,3538,3115,2840,2720,716,440,280,166,15,--,25,
其他非流动资产(万元),3210,3327,1134,574,4128,4278,3965,3599,374,545,548,600,300,333,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),72771,71626,68219,67010,64979,63652,63406,60474,57125,52148,46966,46421,39745,27346,18151,17479,13791,13072,12723,8897,6185,6332,5824,
资产总计(万元),144313,146952,156812,160185,151281,154851,165110,164108,166787,168182,170099,162075,164116,155879,147389,150361,143911,68445,74148,66498,48394,37490,31727,
短期借款(万元),1720,1340,960,--,1400,3060,13180,13240,14020,13925,19500,10000,10000,14000,5000,5000,5000,--,--,--,--,3000,4200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,0,--,843,1192,2105,2105,2105,9043,9043,10500,10500,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,462,26,26,--,--,--,--,--,--,--,
应付票据(万元),--,387,109,101,1348,2986,2671,1979,2213,1260,455,--,732,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),--,12066,12705,12446,13689,13922,16555,16468,15729,15009,12746,12158,11356,10047,10665,12217,10625,7397,7049,4574,4502,5241,6216,
预收账款(万元),806,727,703,426,239,1306,313,1019,738,784,251,103,65,28,6,6,6,1721,1717,1797,2531,4342,2216,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),928,743,879,1686,816,812,801,1402,656,727,556,1401,505,358,340,346,337,336,703,787,673,415,352,
应交税费(万元),530,380,2416,3063,524,423,495,1207,196,752,371,608,1223,890,245,1302,455,43,2664,1153,16,402,1083,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3168,3363,7034,8487,3910,4299,4100,3549,1643,1732,1059,1643,11305,317,977,558,1257,245,172,386,188,108,383,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,14,--,17,--,--,--,--,--,--,--,--,--,--,--,1500,1708,2486,1250,2400,--,--,
流动负债合计(万元),19260,19006,24821,27052,23135,28914,40219,40969,44237,43232,45438,36414,35185,26102,17259,19455,19180,11451,14792,9947,10310,13508,14449,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2300,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,100,--,--,--,150,--,37,37,37,37,78,242,1120,420,420,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),2483,2377,2730,2596,2666,1484,1574,1514,1333,1123,987,1162,1537,1813,1204,1355,--,--,--,--,--,--,--,
递延所得税负债(万元),710,710,710,710,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1270,1130,1587,836,61,--,--,
非流动负债合计(万元),3193,3087,3440,3306,2666,1484,1574,1514,1433,1123,987,1162,1687,1813,1241,1392,1306,1166,1664,3378,1181,462,420,
负债合计(万元),22454,22093,28262,30358,25801,30398,41793,42483,45671,44355,46425,37576,36872,27915,18499,20847,20486,12617,16457,13325,11491,13970,14869,
实收资本(或股本)(万元),24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,12000,12000,12000,12000,12000,12000,12000,9000,9000,9000,9000,9000,2575,
资本公积(万元),52333,52742,52742,52742,52742,52742,52742,52742,52742,52742,64742,64742,64742,64742,64742,64742,64742,3448,3448,3448,3448,3448,6580,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),77,61,47,32,28,27,29,30,27,27,31,34,17,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),4082,4082,4082,4082,2448,2448,2448,2448,2448,2448,2448,2448,2448,2448,2448,2448,1659,1659,1659,1402,837,114,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
