报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),45770,27124,45947,10124,17452,69937,110706,84012,76396,30940,29413,39506,717,2870,2853,1424,4970,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,10000,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1150,1661,1277,1119,1758,1808,556,576,1174,1454,559,862,1415,1385,1179,422,626,
应收账款(万元),37374,41206,38572,37607,32661,36538,34184,42891,32907,30377,31261,28783,25242,26507,24528,23150,15027,
预付款项(万元),243,321,1318,484,542,189,583,592,836,266,768,319,301,303,166,200,167,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),3,3,--,10,15,15,17,3,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),13480,13116,13513,10795,1886,1466,1727,82828,82896,806,881,614,1220,961,682,367,517,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),314,271,429,312,305,269,190,145,131,161,251,267,144,122,447,85,108,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),156646,162624,101990,119185,128386,99753,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),5658,5485,6070,5636,10897,10877,10676,16200,14634,13832,3497,2705,2869,3007,1469,--,--,
流动资产合计(万元),260639,251810,209115,185272,193902,220852,158639,227248,208973,77837,76630,73056,31909,35155,31325,25648,21415,
发放贷款及垫款(万元),3478,4440,8000,8000,8500,8000,17150,--,--,4350,--,--,--,--,--,--,--,
可供出售金融资产(万元),18200,18200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),201468,185143,185795,178124,162809,121232,150610,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,136394,--,129163,--,125881,--,119247,--,110880,--,99627,--,98830,88455,78766,--,
累计折旧(万元),--,46191,--,42878,--,38280,--,33982,--,29962,--,26300,--,22848,16501,10725,--,
固定资产净值(万元),--,90203,--,86284,--,87601,--,85265,--,80918,--,73327,--,75982,71954,68041,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),91016,90203,88264,86284,86202,87601,85157,85265,83307,80918,77667,73327,74449,75982,71954,68041,51225,
在建工程(万元),6091,6083,6055,6010,7405,5632,4075,3997,3501,3055,476,203,195,163,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),475,478,481,485,489,492,496,500,504,508,500,504,507,511,525,6,8,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),170,139,143,149,171,194,153,177,194,137,141,161,183,205,290,377,246,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),3501,2639,1489,1932,1642,1599,1128,1016,824,824,878,796,655,641,587,507,244,
其他非流动资产(万元),12670,6177,2762,4032,2533,1467,2057,1183,946,527,579,2562,2860,208,1362,355,135,
非流动资产合计(万元),337069,313501,292990,285017,269751,226217,260826,92138,89276,90320,80242,77554,78850,77709,74718,69287,51859,
资产总计(万元),597708,565311,502104,470289,463653,447069,419465,319386,298249,168158,156872,150609,110760,112864,106043,94935,73274,
短期借款(万元),103552,92352,87352,60352,55343,48500,47769,48969,24469,18469,15400,14300,12950,14950,12300,21900,8540,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,500,--,
应付账款(万元),4978,8693,7381,8381,7821,8092,5490,6979,5600,7523,3736,3519,2628,3991,4362,1786,1621,
预收账款(万元),400,102,399,208,29,35,104,84,434,69,238,366,215,62,143,130,50,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),147,499,158,149,165,520,146,137,125,413,131,108,80,332,274,205,128,
应交税费(万元),3261,3004,1336,1430,2676,2362,2496,429,623,455,594,407,557,395,991,719,1030,
应付利息(万元),218,203,164,120,42,98,104,106,892,687,440,192,904,672,667,79,55,
应付股利(万元),--,--,--,1419,--,--,--,--,--,--,--,--,--,--,--,--,793,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),1295,1089,1992,1326,523,559,611,956,583,517,2446,911,603,836,837,1155,927,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),52800,55750,32723,25844,13755,16234,5300,5400,20574,20579,15231,20860,412,1267,6503,7180,7575,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),166651,161692,131504,99230,80355,76400,62019,63060,53301,48713,38217,40663,18349,22505,26076,33654,20718,
长期借款(万元),4280,11100,11100,12000,24500,16300,27400,27400,15900,12000,12400,5400,5600,5600,950,9695,7675,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,14702,14633,14388,--,--,
长期应付款(万元),37676,43609,14044,17325,18798,19878,11,15,20,26,255,407,7753,7888,10941,1689,2109,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,
