报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-06-30,2007-12-31,2006-12-31,2005-12-31,
货币资金(万元),2956187,3722409,3253579,3415556,3732879,4341818,3816922,3079841,3407904,4024781,3745288,3113127,3158477,2998645,2597411,2632533,2368955,2611096,2478058,2598287,2199847,2534652,1797876,2023167,1688659,2266866,1791172,1887691,1818851,2220937,2316331,2218623,1652734,1747982,1679145,1809691,1441999,1533061,1399221,1557504,1101118,1296879,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,
交易性金融资产(万元),177431,51855,64421,86502,93318,89809,87440,82086,78828,75404,68494,77755,83835,90810,24344,23145,20030,19892,4201,14549,20139,10697,5561,10323,14585,21227,28591,20135,18404,12187,18484,18008,6925,8675,5371,5135,6187,9186,30944,44761,106873,419927,
衍生金融资产(万元),1317,--,1268,--,98,--,35,--,396,--,320,--,442,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,
应收票据(万元),792528,1010600,825771,611447,671073,665317,524206,560780,577163,672105,646771,610744,598754,639012,510077,519908,407271,486892,484715,383378,477052,509017,413173,406542,332772,445092,304094,289221,176981,237471,175770,220904,163267,204112,182381,146023,118784,86637,222502,212070,155990,92806,
应收账款(万元),2998833,2790585,3227478,3106055,2716362,2713891,2947877,2825021,2685952,2552279,2876274,2839948,2918557,2605578,2868477,2712925,2510470,2526838,2425295,2590085,2248434,2060570,2396178,2240754,2118617,1836487,2191197,1995868,1883375,1597740,1734980,1647846,1597129,1361395,1448618,1343015,1358539,1141751,1160516,993696,849776,598640,
预付款项(万元),1325913,955124,1051563,1020744,1075660,842819,1004426,992007,1036829,860991,937093,979418,954460,819417,996594,1013122,1002418,901210,1127016,1012421,899582,922946,1120345,970147,1030428,890918,742610,811771,758489,757716,899368,909929,917159,888596,1030626,940703,865333,755570,971737,745564,490825,448498,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,--,0,0,0,0,
