报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),61678,74065,61528,86289,101306,32956,25413,32121,21120,25127,16800,23654,22757,74163,8615,8064,5953,9186,14991,9810,12905,27082,17537,32426,32763,34870,36677,42107,52758,54340,55511,59254,58617,2002,1763,1909,863,1345,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,42,23,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),28607,34578,26582,19501,21744,13517,7950,8275,11153,10042,7184,6257,1369,3646,2186,1989,1985,636,--,30,50,--,90,100,701,58,65,110,30,249,29,--,--,204,0,85,0,50,
应收账款(万元),205990,234210,196370,193746,167005,181980,135660,126183,105647,129114,91989,87496,86201,94998,77862,79717,79778,95234,73828,25464,24281,25970,25733,20738,21575,24865,8276,8658,7315,9895,11431,9469,7757,9673,9961,7750,4084,3776,
预付款项(万元),18409,15136,29479,20373,22826,11383,22234,19665,19033,15865,14823,16571,12486,8366,11034,9171,6803,4891,2982,1795,1692,795,2994,1151,1502,903,4104,5986,3219,3113,3575,2335,3134,316,865,284,1147,375,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),290,204,--,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,377,--,--,--,639,456,272,90,1055,755,454,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),--,14449,16005,13239,19753,12565,15718,13439,14344,9923,13489,10384,11543,7117,7073,5327,5082,4168,12848,1395,2077,787,1826,4660,4814,2442,4713,3908,2772,409,1306,1116,825,452,718,441,535,341,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),204425,189546,191696,179151,177102,176820,181219,172188,167101,150808,162255,144404,132440,124054,129224,113120,93838,86315,77697,20803,15153,14283,10181,9478,7756,6219,13388,5591,4800,3567,3417,1887,2612,1923,1075,987,1988,833,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),5617,5617,7061,7068,7291,7068,12080,12142,11715,11873,6652,6652,6652,6652,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),5324,4869,4315,4483,4050,3739,5747,6378,6106,4851,3677,2864,18576,2423,818,615,161,178,--,8000,10000,--,13800,--,--,--,--,0,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),548199,572674,533036,523882,521077,440027,406022,390691,356518,357903,316869,298283,292022,321418,236812,218003,193601,200608,182345,67297,66157,69293,72161,68553,69111,69996,67678,66632,70984,72628,76024,74515,72944,14570,14381,11457,8659,6743,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
