报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),88807,103143,106392,95139,98456,92727,100587,97191,96523,94671,65517,89509,108185,34193,30155,28107,21847,17726,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),557,713,821,745,874,480,646,830,560,530,779,1004,863,826,1181,660,984,1330,
应收账款(万元),36268,32014,31905,33291,29026,24605,26857,27740,25979,20310,25193,26114,25879,20109,20874,19129,18161,16761,
预付款项(万元),10138,7546,5825,5975,6595,3748,3398,5520,4418,5412,3152,3120,2667,2947,3459,6437,3209,3913,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),812,372,511,417,225,129,126,181,174,596,433,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1066,325,802,790,709,334,1669,466,1144,732,477,474,444,727,866,641,518,415,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),42407,31886,34312,40885,35472,32533,34967,37769,37522,30643,26387,28893,31855,27854,26874,21566,16326,18244,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2149,1302,1231,2034,9886,28388,15246,12303,20097,28006,53297,21315,1587,2100,1740,1739,1083,783,
流动资产合计(万元),182205,177302,181799,179275,181243,182944,183495,182000,186417,180899,175235,170429,171481,88756,85149,78278,62127,59172,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3118,3118,3118,3118,3118,3118,3118,3118,3118,3118,11,11,11,11,11,11,11,11,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,100,435,439,424,407,395,381,368,367,322,269,270,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),2586,2635,2683,2732,2780,2828,2877,2925,2973,3022,3070,3119,3167,3215,3264,3409,3579,2516,
固定资产原值(万元),--,33707,--,29431,--,28275,--,27070,--,25978,--,25658,--,25401,25408,25059,21451,20865,
累计折旧(万元),--,16895,--,16105,--,15246,--,14294,--,13386,--,12613,--,11710,11598,10151,9238,7673,
固定资产净值(万元),--,16812,--,13327,--,13029,--,12775,--,12592,--,13046,--,13691,13811,14908,12213,13193,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),17741,16812,13827,13327,12896,13029,12411,12775,12149,12592,12874,13046,13309,13691,13811,14908,12213,13193,
在建工程(万元),3506,3179,3503,2979,2883,2782,996,193,1447,1393,1723,1742,1715,1509,1428,1003,3475,3357,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),11,11,12,13,13,14,38,40,38,36,116,107,78,72,72,23,25,34,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2663,2682,2704,2736,2767,2798,2829,2855,2888,2652,2679,2692,2697,2715,2732,2784,2854,3173,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),4427,4427,4427,4427,4427,4427,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),736,753,760,782,821,761,715,550,235,244,16,18,19,21,22,29,9,15,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),951,807,488,500,698,656,737,739,749,811,1010,974,918,860,951,1048,1248,1063,
其他非流动资产(万元),8572,8772,1549,2099,1010,961,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),44310,43196,33069,32712,31413,31374,23820,23630,24036,24292,21905,22103,22295,22460,22658,23538,23683,23632,
资产总计(万元),226515,220498,214868,211986,212655,214318,207315,205630,210453,205191,197140,192531,193775,111217,107807,101816,85810,82803,
短期借款(万元),1572,1634,1635,1694,100,100,--,--,--,--,--,--,--,--,--,--,2900,9032,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),18945,12632,10661,13117,11032,12092,19759,22038,20041,16783,17335,17400,18856,15486,17107,17489,13915,14813,
预收账款(万元),1930,1928,2473,2091,2352,4771,2858,3609,2476,6618,1745,1425,2162,3206,1380,2912,967,1855,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),104,1378,57,46,139,1196,63,98,122,57,214,87,115,66,61,77,75,69,
应交税费(万元),1786,4109,2398,1475,2400,3725,2526,2327,2380,2304,1747,2068,1938,2257,1773,2131,1690,2112,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),656,804,869,1087,1259,1173,588,921,1501,1256,1318,1345,1236,1151,1167,1249,980,1191,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),25058,22485,18093,19510,17282,23058,25794,28993,26522,27018,22360,22325,24307,22167,21489,23858,20527,29072,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),111,139,139,142,145,31,--,15,34,46,61,76,92,108,140,233,235,369,
递延所得税负债(万元),129,60,144,130,102,87,87,95,94,157,68,68,69,69,80,97,147,177,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),240,199,283,272,247,118,87,110,128,203,129,144,161,177,219,329,381,546,
负债合计(万元),25299,22684,18376,19782,17529,23177,25881,29103,26650,27221,22488,22469,24468,22343,21708,24187,20908,29618,
